outcome,etw,estimate,se,ci_low,ci_high
p93,-26,0.058193805215017,0.0741163968182374,-0.0870743325487283,0.203461942978762
p93,-25,0.0809681078163137,0.0714426935910102,-0.0590595716220662,0.220995787254694
p93,-24,0.0602927014315686,0.0723464541566125,-0.0815063487153918,0.202091751578529
p93,-23,0.0503610319812847,0.0714957901966272,-0.0897707168041047,0.190492780766674
p93,-22,0.033539321251844,0.0711591859213519,-0.105932683154006,0.173011325657694
p93,-21,0.0284919226392289,0.073176380813694,-0.114933783755611,0.171917629034069
p93,-20,0.0416340020160372,0.0672438155259992,-0.0901638764149213,0.173431880446996
p93,-19,0.0308867544719756,0.0642895653856067,-0.0951207936838135,0.156894302627765
p93,-18,0.0201952518714103,0.0636522671584556,-0.104563191759163,0.144953695501983
p93,-17,0.0258080052011845,0.062408450432245,-0.0965125576460158,0.148128568048385
p93,-16,0.0497799314533417,0.0648202571676414,-0.0772677725952354,0.176827635501919
p93,-15,0.0248974806563093,0.0620653731302933,-0.0967506506790656,0.146545611991684
p93,-14,0.0511385722486522,0.0757224305601795,-0.0972773916492997,0.199554536146604
p93,-13,0.0445426042507796,0.0784805349089379,-0.109279244170739,0.198364452672298
p93,-12,0.0299009070227452,0.0676414782414267,-0.102676390330451,0.162478204375941
p93,-11,0.0354410424306196,0.0659595688370699,-0.0938397124900374,0.164721797351277
p93,-10,0.0276079452506704,0.0618262423131377,-0.0935714896830795,0.14878738018442
p93,-9,0.0470701005642387,0.0638283115632777,-0.0780333900997857,0.172173591228263
p93,-8,0.0614900512558281,0.0662569550310535,-0.0683735806050368,0.191353683116693
p93,-7,0.0457780953667086,0.0580977469757639,-0.0680934887057887,0.159649679439206
p93,-6,-0.0411609972809018,0.0468441488029802,-0.132975528934743,0.0506535343729394
p93,-5,-0.0431185868536943,0.0345253397302591,-0.110788252725002,0.0245510790176134
p93,-4,-0.0513040216539854,0.0289630426674543,-0.108071585282196,0.00546354197422509
p93,-3,-0.0502334128195849,0.0323048444801764,-0.113550908000731,0.0130840823615609
p93,-2,0.00144771736475475,0.0480218195303617,-0.0926750489147543,0.0955704836442637
p93,-1,0,0,0,0
p93,0,-0.00358540476419423,0.0290459327052556,-0.0605154328664951,0.0533446233381067
p93,1,-0.0322669400359297,0.0294328964312683,-0.0899554170412156,0.0254215369693561
p93,2,-0.080547148364145,0.0407684922013903,-0.16045339307887,-0.000640903649420044
p93,3,-0.0876620613902017,0.057168720557833,-0.199712753683554,0.0243886309031511
p93,4,-0.100275909260788,0.0668402328099712,-0.231282765568332,0.0307309470467553
p93,5,-0.102324885033824,0.0735032795081792,-0.246391312869855,0.0417415428022074
p93,6,-0.059663128942762,0.0938275456394655,-0.243565118396114,0.12423886051059
p93,7,-0.123245101290876,0.0922744789974219,-0.304103080125823,0.0576128775440706
p93,8,-0.126390184453146,0.0973860751879715,-0.31726689182157,0.0644865229152786
p93,9,-0.187310009669422,0.0950334952398634,-0.373575660339554,-0.00104435899928945
p93,10,-0.243811856865525,0.097889795076127,-0.435675855214734,-0.0519478585163157
p93,11,-0.252798534078463,0.107622546967399,-0.463738726134565,-0.04185834202236
p93,12,-0.212585020211547,0.100781631135665,-0.41011701723745,-0.0150530231856435
p93,13,-0.204260263170852,0.106093332495118,-0.412203194861283,0.00368266851957899
p93,14,-0.184110945691379,0.116882692547554,-0.413201023084585,0.0449791317018265
p93,15,-0.2335881614818,0.102390385365787,-0.434273316798742,-0.0329030061648573
p93,16,-0.229540162464071,0.104367267342151,-0.434100006454688,-0.0249803184734547
p93,17,-0.221051110964302,0.103504920215835,-0.423920754587338,-0.0181814673412657
p93,18,-0.235490618543242,0.107685604529892,-0.44655440342183,-0.0244268336646542
p93,19,-0.208456997426238,0.10920863186266,-0.422505915877052,0.00559192102457631
p93,20,-0.214971898185541,0.115248378392081,-0.44085871983402,0.0109149234629379
p93,21,-0.190640227674625,0.11346094213976,-0.413023674268555,0.031743218919304
p93,22,-0.230333589950107,0.120323069874321,-0.466166806903776,0.00549962700356249
p93,23,-0.225455189848929,0.119265240067156,-0.459215060380554,0.00830468068269646
p93,24,-0.1934870831097,0.108720145683111,-0.406578568648598,0.0196044024291985
p93,25,-0.221256113338678,0.108239333825857,-0.433405207637358,-0.00910701903999855
p93,26,-0.322479534580999,0.098234687870586,-0.515019522807348,-0.12993954635465
pdi,-26,0.0265632520092758,0.104533007387559,-0.178321442470339,0.231447946488891
pdi,-25,0.0690043315394891,0.0897990709941101,-0.107001847608967,0.245010510687945
pdi,-24,0.0924416646524413,0.0933307992866259,-0.0904867019493455,0.275370031254228
pdi,-23,0.0668901475996737,0.0942387065559054,-0.117817717249901,0.251598012449248
pdi,-22,0.0775011510908053,0.0908627268285937,-0.100589793493238,0.255592095674849
pdi,-21,0.12280626937381,0.0868453759127317,-0.0474106674151438,0.293023206162764
pdi,-20,0.139536111784354,0.0860363607237974,-0.029095155234289,0.308167378802997
pdi,-19,0.10959661899769,0.0848471146318738,-0.0567037256807826,0.275896963676163
pdi,-18,0.0600600496579301,0.0829290610506742,-0.102480910001391,0.222601009317252
pdi,-17,0.0807926814639546,0.0875640408175063,-0.0908328385383578,0.252418201466267
pdi,-16,0.0581134497636952,0.0854846694227818,-0.109436502304957,0.225663401832347
pdi,-15,0.087699426688446,0.0863922184262587,-0.081629321427021,0.257028174803913
pdi,-14,0.0542674290482571,0.0852981228056794,-0.112916891650874,0.221451749747389
pdi,-13,0.0958034260193442,0.108578751227499,-0.117010926386555,0.308617778425243
pdi,-12,0.0639395326418572,0.0815365332815023,-0.0958720725898873,0.223751137873602
pdi,-11,0.0350193996515245,0.080110445524972,-0.12199707357742,0.19203587288047
pdi,-10,0.0168573040361256,0.077173105934378,-0.134401983595255,0.168116591667507
pdi,-9,0.0352425143227705,0.0816419452677567,-0.124775698402033,0.195260727047574
pdi,-8,0.0638371033683058,0.0914278030620731,-0.115361390633358,0.243035597369969
pdi,-7,0.0144114461033726,0.0762804456882006,-0.135098227445501,0.163921119652246
pdi,-6,-0.0697240445834124,0.0718602177895431,-0.210570071450917,0.071121982284092
pdi,-5,-0.0458556073388731,0.0596261958638163,-0.162722951231953,0.0710117365542068
pdi,-4,-0.0629126165987516,0.0412212013527649,-0.143706171250171,0.0178809380526676
pdi,-3,-0.0567281990396143,0.0332464729653474,-0.121891286051695,0.00843488797246657
pdi,-2,0.0364838346886365,0.0737122088451229,-0.107992094647804,0.180959764025077
pdi,-1,0,0,0,0
pdi,0,-0.0409445579734197,0.0470313091920864,-0.133125923989909,0.0512368080430696
pdi,1,-0.0801656882005929,0.0420194817684524,-0.16252387246676,0.00219249606557373
pdi,2,-0.151976894398481,0.0670159725136774,-0.283328200525288,-0.020625588271673
pdi,3,-0.178666331931204,0.0889621005580163,-0.353032049024916,-0.00430061483749247
pdi,4,-0.150516426354833,0.0979535940055124,-0.342505470605638,0.0414726178959709
pdi,5,-0.221694773820928,0.109942476048988,-0.437182026876945,-0.00620752076491166
pdi,6,-0.139528916633498,0.153918986181863,-0.441210129549949,0.162152296282953
pdi,7,-0.28024321813794,0.14883845077336,-0.571966581653726,0.0114801453778455
pdi,8,-0.270334734270237,0.153250556057605,-0.570705824143144,0.0300363556026687
pdi,9,-0.292716583144738,0.14736233143742,-0.581546752762082,-0.00388641352739522
pdi,10,-0.372189989846325,0.144612965262171,-0.65563140176018,-0.0887485779324696
pdi,11,-0.34475128313851,0.154454952326444,-0.647482989698341,-0.0420195765786788
pdi,12,-0.328288947929823,0.150507723640141,-0.6232840862645,-0.0332938095951461
pdi,13,-0.323444075121736,0.153385948122288,-0.62408053344142,-0.0228076168020513
pdi,14,-0.286441730541837,0.164336849737887,-0.608541956028096,0.0356584949444215
pdi,15,-0.363627423127694,0.120583697812358,-0.599971470839916,-0.127283375415471
pdi,16,-0.408848925286498,0.150230452380774,-0.703300611952815,-0.114397238620181
pdi,17,-0.467261063869969,0.156218476173663,-0.773449277170348,-0.16107285056959
pdi,18,-0.484017501551934,0.159295309164488,-0.796236307514331,-0.171798695589538
pdi,19,-0.448272285783856,0.152672619650132,-0.747510620298115,-0.149033951269598
pdi,20,-0.418319028825647,0.150401351305365,-0.713105677384163,-0.123532380267132
pdi,21,-0.416531556591222,0.163313261410406,-0.736625548955618,-0.0964375642268267
pdi,22,-0.45837877347169,0.16507446062869,-0.781924716303923,-0.134832830639457
pdi,23,-0.47639055379056,0.167428547429311,-0.804550506752009,-0.14823060082911
pdi,24,-0.440358912248663,0.15746066060815,-0.748981807040637,-0.13173601745669
pdi,25,-0.487384953495457,0.159531885843772,-0.800067449749251,-0.174702457241663
pdi,26,-0.482382178096273,0.119331944211985,-0.716272788751764,-0.248491567440783
