ring,att,se,p,ci_low,ci_high,outcome
0-1 km,-0.433320547231723,0.113387308213383,0.00016387664476806,-0.655559671329954,-0.211081423133492,p93
1-2 km,-0.299267593892344,0.0942299912850616,0.00166296791959263,-0.483958376811065,-0.114576810973623,p93
2-3 km,-0.325354163903885,0.131390752183274,0.0138775427285359,-0.582880038183102,-0.0678282896246676,p93
3-4 km,-0.00334863390912565,0.107330068956633,0.975133066431616,-0.213715569064126,0.207018301245875,p93
4-5 km,-0.117497612568639,0.132473706759945,0.37587778623067,-0.377146077818131,0.142150852680854,p93
0-1 km,-0.550200611113522,0.145046382491639,0.000182968129624988,-0.834491520797135,-0.265909701429908,p95
1-2 km,-0.307116727746715,0.103997131110821,0.00341852787017097,-0.510951104723925,-0.103282350769505,p95
2-3 km,-0.17563560679733,0.142732754017698,0.219557515448207,-0.455391804672018,0.104120591077358,p95
3-4 km,-0.0446727513431238,0.116059925304948,0.70060189912359,-0.272150204940821,0.182804702254573,p95
4-5 km,-0.134296069227534,0.127323163993282,0.292461799218569,-0.383849470654368,0.115257332199299,p95
0-1 km,-0.32178861193667,0.161226272349692,0.0470187917257154,-0.637792105742066,-0.00578511813127398,p97
1-2 km,-0.183814181805985,0.101365703776826,0.0709586443952913,-0.382490961208565,0.0148625975965943,p97
2-3 km,-0.319423428136869,0.155919544409554,0.0415289544625683,-0.625025735179595,-0.0138211210941435,p97
3-4 km,-0.0632812670912488,0.150596968867176,0.674693966375042,-0.358451326070915,0.231888791888417,p97
4-5 km,-0.145303971597299,0.179202687467379,0.418222003503895,-0.496541239033361,0.205933295838764,p97
0-1 km,-0.562824827761543,0.177831039571217,0.00172281113108915,-0.911373665321127,-0.214275990201958,pdi
1-2 km,-0.4422845290497,0.126902048663999,0.000570846767832181,-0.691012544431137,-0.193556513668263,pdi
2-3 km,-0.343485804497618,0.138713048696646,0.0138710608521365,-0.615363379943045,-0.0716082290521912,pdi
3-4 km,-0.146371827627865,0.119024121087698,0.2198207082633,-0.379659104959753,0.0869154497040233,pdi
4-5 km,-0.293070968737768,0.133913423504347,0.0294615056521408,-0.555541278806289,-0.0306006586692476,pdi
