ring,att,se,p,ci_low,ci_high,outcome
0-500 m,-0.292247875984913,0.133883408331543,0.0299378994272096,-0.554659356314738,-0.0298363956550884,p93
500-1000 m,-0.605111583274549,0.142936072989315,3.19101175632957e-05,-0.885266286333607,-0.324956880215492,p93
1000-1500 m,-0.333508056990423,0.123995138792072,0.00761292514515113,-0.576538529022884,-0.0904775849579628,p93
1500-2000 m,-0.322435535288128,0.127929039863045,0.0123182507478625,-0.573176453419697,-0.0716946171565594,p93
2000-2500 m,-0.182562728299515,0.144574408085358,0.207802575023782,-0.465928568146817,0.100803111547787,p93
2500-3000 m,-0.497383959899667,0.219646184555579,0.0243653804914167,-0.927890481628603,-0.0668774381707311,p93
0-500 m,-0.438707768022577,0.182935946782997,0.0171862964124492,-0.797262223717251,-0.0801533123279039,p95
500-1000 m,-0.681839933048881,0.21923683407127,0.00207952417382859,-1.11154412782857,-0.252135738269191,p95
1000-1500 m,-0.314877453197146,0.120589966727858,0.00955028813978326,-0.551233787983748,-0.0785211184105446,p95
1500-2000 m,-0.335378805625492,0.14570803963634,0.0221450736493788,-0.620966563312717,-0.0497910479382662,p95
2000-2500 m,0.0511572236759487,0.168869427806126,0.762179124130262,-0.279826854824058,0.382141302175956,p95
2500-3000 m,-0.441296756967473,0.246322179049378,0.0743736075759893,-0.924088227904254,0.0414947139693075,p95
0-500 m,-0.28725862656657,0.195638536952436,0.143334060853063,-0.670710158993345,0.0961929058602039,p97
500-1000 m,-0.391596298115804,0.196505299308437,0.0474203732623645,-0.776746684760341,-0.00644591147126701,p97
1000-1500 m,-0.0691846463554872,0.124504869891762,0.578950623221774,-0.313214191343341,0.174844898632367,p97
1500-2000 m,-0.317612841953633,0.120533161047414,0.00896216732366387,-0.553857837606564,-0.0813678463007026,p97
2000-2500 m,-0.253616132253762,0.120893491609139,0.0369690738521036,-0.490567375807674,-0.0166648886998501,p97
2500-3000 m,-0.477820958866935,0.281313277942857,0.0907078591713421,-1.02919498363494,0.0735530659010657,p97
0-500 m,-0.626012137926489,0.216702533997444,0.00418782500584167,-1.05074910456148,-0.201275171291497,pdi
500-1000 m,-0.565921595452959,0.231804842423929,0.0152888477104636,-1.02025908660386,-0.111584104302058,pdi
1000-1500 m,-0.393325181202966,0.199188588960673,0.0493513330529208,-0.783734815565886,-0.00291554684004637,pdi
1500-2000 m,-0.54786446595583,0.142802584814448,0.000156179196337573,-0.827757532192149,-0.267971399719511,pdi
2000-2500 m,-0.257318866159016,0.184820326683433,0.165013804443014,-0.619566706458545,0.104928974140513,pdi
2500-3000 m,-0.498113286058299,0.22522878807566,0.0278519429588897,-0.939561710686593,-0.0566648614300049,pdi
