station_key,g,edist,n25,s25,n50,s50
ag1312601,2015-06-01,autogasco,18,0,82,0
am1312201,2025-10-01,aramco_petrobras,3,1,20,3
ar1010109,2024-11-01,aramco_petrobras,0,0,0,0
ar510101,2025-12-01,aramco_petrobras,5,1,6,1
ar530101,2025-11-01,aramco_petrobras,4,0,12,0
ar550502,2026-03-01,aramco_petrobras,3,0,7,0
ar560601,2025-08-01,aramco_petrobras,1,0,8,0
ar610101,2025-11-01,aramco_petrobras,9,1,24,2
ar740101,2026-02-01,aramco_petrobras,7,0,16,1
cl1410701,2026-04-01,colun,1,0,3,0
co1010101,2013-01-01,copec,11,3,17,6
co1010108,2015-09-01,copec,2,0,3,0
co1010109,2017-07-01,copec,0,0,10,3
co1010110,2024-04-01,copec,3,1,24,7
co1010111,2024-08-01,copec,0,0,0,0
co1010603,2014-10-01,copec,0,0,1,1
co1010904,2018-01-01,copec,4,1,6,2
co1010905,2023-10-01,copec,2,0,7,2
co1020803,2024-10-01,aramco_petrobras,3,1,3,1
co1030402,2024-03-01,copec,1,0,1,0
co1030404,2025-03-01,copec,0,0,0,0
co110110,2019-02-01,copec,3,1,6,2
co1110104,2018-05-01,copec,0,0,0,0
co1110105,2023-06-01,copec,5,1,6,2
co1120104,2015-01-01,copec,1,0,1,0
co1120105,2018-04-01,copec,2,1,2,1
co1120203,2021-09-01,copec,1,1,1,1
co1130301,2020-02-01,copec,0,0,0,0
co1140102,2023-09-01,copec,0,0,0,0
co1140201,2014-10-01,copec,1,0,1,0
co1140202,2022-12-01,copec,0,0,0,0
co120502,2017-01-01,copec,0,0,1,0
co1230203,2020-01-01,copec,1,0,1,0
co1310101,2013-06-01,copec,23,10,99,45
co1310703,2019-03-01,copec,5,1,20,6
co1311503,2015-09-01,copec,4,1,20,5
co1311907,2015-10-01,copec,4,0,30,10
co1311908,2022-06-01,copec,9,2,38,12
co1312204,2014-09-01,copec,6,1,32,10
co1312205,2019-04-01,copec,3,0,30,10
co1312206,2026-01-01,copec,4,1,46,19
co1312503,2019-08-01,copec,4,1,14,4
co1312504,2019-12-01,copec,2,1,12,4
co1320101b,2020-11-01,copec,7,3,18,9
co1320108b,2020-11-01,copec,5,2,33,15
co1320109,2025-12-01,copec,1,0,21,8
co1330106,2017-08-01,copec,0,0,7,2
co1330107,2018-03-01,copec,2,1,2,1
co1330108,2024-01-01,copec,1,0,3,2
co13302023,2016-08-01,copec,0,0,6,3
co1330204,2019-03-01,copec,1,0,4,1
