outcome,event_time,dif,n,norm
p93,-12,-5.60512105757933,204,1.01345839427727
p93,-11,-5.41149796540632,204,1.20708148645028
p93,-10,-5.29631710208106,204,1.32226234977554
p93,-9,-5.20997068377291,204,1.40860876808369
p93,-8,-5.13519400142389,204,1.48338545043271
p93,-7,-5.23594683365733,204,1.38263261819927
p93,-6,-5.7720420378794,204,0.846537413977199
p93,-5,-5.76043318240531,204,0.858146269451288
p93,-4,-6.06721025596115,204,0.551369195895453
p93,-3,-6.28904735611408,204,0.329532095742519
p93,-2,-6.13263339713503,204,0.485946054721571
p93,-1,-6.6185794518566,204,0
p93,0,-6.83465058879536,204,-0.216071136938764
p93,1,-7.39844735971261,204,-0.779867907856012
p93,2,-8.4720356382262,204,-1.8534561863696
p93,3,-8.04458975396139,204,-1.42601030210479
p93,4,-8.52055970077708,204,-1.90198024892048
p93,5,-8.63096531111553,204,-2.01238585925893
p93,6,-8.48256290548586,204,-1.86398345362926
p93,7,-8.60129313963077,204,-1.98271368777417
p93,8,-8.60966178818337,204,-1.99108233632677
p93,9,-8.52789223284442,204,-1.90931278098782
p93,10,-8.48251495295511,204,-1.86393550109851
p93,11,-9.12654431593918,204,-2.50796486408258
p93,12,-8.47906972629635,204,-1.86049027443976
pdi,-12,-2.69796559963928,207,0.97780119174762
pdi,-11,-2.60112205080349,207,1.07464474058341
pdi,-10,-2.2469025882967,207,1.4288642030902
pdi,-9,-2.39794204615888,207,1.27782474522802
pdi,-8,-2.21143174202651,207,1.46433504936039
pdi,-7,-2.31575607237465,207,1.36001071901225
pdi,-6,-2.82806815571895,207,0.847698635667954
pdi,-5,-2.70214387377311,207,0.973622917613793
pdi,-4,-2.77752023342378,207,0.898246557963118
pdi,-3,-3.19659970545385,207,0.47916708593305
pdi,-2,-3.23215703458586,207,0.443609756801044
pdi,-1,-3.6757667913869,207,0
pdi,0,-3.89985776337489,207,-0.22409097198799
pdi,1,-4.43548281474162,207,-0.759716023354716
pdi,2,-5.23309524438556,207,-1.55732845299866
pdi,3,-4.93140779083806,207,-1.25564099945116
pdi,4,-5.53051245081162,207,-1.85474565942471
pdi,5,-6.23048467477501,207,-2.5547178833881
pdi,6,-5.89503066597736,207,-2.21926387459046
pdi,7,-5.56949042321101,207,-1.89372363182411
pdi,8,-5.63487436141443,207,-1.95910757002753
pdi,9,-5.44419445214482,207,-1.76842766075792
pdi,10,-4.93346400915952,207,-1.25769721777262
pdi,11,-5.957506719339,207,-2.28173992795209
pdi,12,-5.4950577186659,207,-1.819290927279
m93,-12,-6.94411688561947,168,1.22773987731489
m93,-11,-6.54581998245769,168,1.62603678047668
m93,-10,-6.60213619322857,168,1.5697205697058
m93,-9,-6.74753218898035,168,1.42432457395402
m93,-8,-6.80327853891695,168,1.36857822401741
m93,-7,-6.61823455274981,168,1.55362221018456
m93,-6,-6.91718190285201,168,1.25467486008236
m93,-5,-7.08924864840548,168,1.08260811452888
m93,-4,-7.46290855662834,168,0.70894820630603
m93,-3,-7.66589331077001,168,0.505963452164359
m93,-2,-7.69108793546504,168,0.480768827469328
m93,-1,-8.17185676293437,168,0
m93,0,-8.48420455097981,168,-0.312347788045447
m93,1,-8.91446244725917,168,-0.742605684324808
m93,2,-9.81581779912154,168,-1.64396103618718
m93,3,-9.34246501539298,168,-1.17060825245862
m93,4,-9.93228079040232,168,-1.76042402746795
m93,5,-10.0174440600654,168,-1.84558729713105
m93,6,-9.89765778210736,168,-1.72580101917299
m93,7,-9.70751102767079,168,-1.53565426473642
m93,8,-9.88647319564314,168,-1.71461643270877
m93,9,-9.70832419780846,168,-1.5364674348741
m93,10,-9.39123380754892,168,-1.21937704461456
m93,11,-9.99844646820202,168,-1.82658970526766
m93,12,-9.79789309406093,168,-1.62603633112656
mdi,-12,-4.15138879599356,170,0.959479478014885
mdi,-11,-3.80671882459275,170,1.3041494494157
mdi,-10,-3.68168563977553,170,1.42918263423292
mdi,-9,-3.76474644550186,170,1.34612182850659
mdi,-8,-3.68633096597383,170,1.42453730803462
mdi,-7,-3.66406210930978,170,1.44680616469867
mdi,-6,-3.9571365114677,170,1.15373176254074
mdi,-5,-4.12779636302522,170,0.983071910983225
mdi,-4,-3.9453951279955,170,1.16547314601295
mdi,-3,-4.43485193482725,170,0.676016339181202
mdi,-2,-4.71489633631165,170,0.395971937696799
mdi,-1,-5.11086827400845,170,0
mdi,0,-5.33772254567728,170,-0.226854271668828
mdi,1,-5.99989808947734,170,-0.889029815468891
mdi,2,-6.74438541386815,170,-1.6335171398597
mdi,3,-6.73530986525294,170,-1.6244415912445
mdi,4,-6.62818235751924,170,-1.51731408351079
mdi,5,-7.25679791855518,170,-2.14592964454673
mdi,6,-6.78993004324619,170,-1.67906176923774
mdi,7,-6.40547879901321,170,-1.29461052500476
mdi,8,-6.52534607980754,170,-1.41447780579909
mdi,9,-6.65368615923219,170,-1.54281788522374
mdi,10,-6.40056738037846,170,-1.28969910637002
mdi,11,-6.93650164536231,170,-1.82563337135386
mdi,12,-6.4925909944785,170,-1.38172272047005
