fe,outcome,att,pend,p
1. solo evento x estacion,p93,-0.0583536918130287,0.0555205515387818,0.669132109563351
1. solo evento x estacion,pdi,-2.37117239215124,-0.0752035623250013,0.692579913050861
1. solo evento x estacion,m93,1.05107897318254,0.265037449938591,0.0349471492170086
1. solo evento x estacion,mdi,1.47858644167309,0.253582734843041,0.00128763121331769
2. + evento x mes,p93,-0.378976031640556,-0.0164464692530442,0.0455301014931107
2. + evento x mes,pdi,-0.460456278949547,-0.0204542362888789,0.0356383219220483
2. + evento x mes,m93,-3.55072102381764,-0.160704808575127,0.026505322348475
2. + evento x mes,mdi,-2.96918846498904,-0.154025977076909,0.0106558418807436
3. + marca x anio (principal),p93,-0.344067876453268,-0.0143248070482261,0.0705472410326547
3. + marca x anio (principal),pdi,-0.458643111508304,-0.0211609881125495,0.0268705814738901
3. + marca x anio (principal),m93,-3.32021546736872,-0.145301348470276,0.0397906244804871
3. + marca x anio (principal),mdi,-2.97953436805035,-0.155707510790851,0.00849453503606796
