outcome,event_time,grupo,media,n,base,norm
p93,-12,tratadas (<2 km),833.669884169884,518,837.709055876686,-4.03917170680177
p93,-11,tratadas (<2 km),836.484555984556,518,837.709055876686,-1.22449989212998
p93,-10,tratadas (<2 km),836.88416988417,518,837.709055876686,-0.824885992516101
p93,-9,tratadas (<2 km),836.667953667954,518,837.709055876686,-1.04110220873235
p93,-8,tratadas (<2 km),837.667953667954,518,837.709055876686,-0.0411022087323545
p93,-7,tratadas (<2 km),837.171483622351,519,837.709055876686,-0.53757225433526
p93,-6,tratadas (<2 km),840.730250481696,519,837.709055876686,3.02119460500956
p93,-5,tratadas (<2 km),843.95183044316,519,837.709055876686,6.24277456647394
p93,-4,tratadas (<2 km),845.254335260116,519,837.709055876686,7.5452793834296
p93,-3,tratadas (<2 km),844.674373795761,519,837.709055876686,6.96531791907512
p93,-2,tratadas (<2 km),843.179190751445,519,837.709055876686,5.47013487475908
p93,-1,tratadas (<2 km),837.709055876686,519,837.709055876686,0
p93,0,tratadas (<2 km),835.44894026975,519,837.709055876686,-2.26011560693644
p93,1,tratadas (<2 km),834.479768786127,519,837.709055876686,-3.22928709055884
p93,2,tratadas (<2 km),836.414258188825,519,837.709055876686,-1.29479768786132
p93,3,tratadas (<2 km),839.747591522158,519,837.709055876686,2.03853564547205
p93,4,tratadas (<2 km),843.957610789981,519,837.709055876686,6.24855491329481
p93,5,tratadas (<2 km),846.778420038536,519,837.709055876686,9.06936416184965
p93,6,tratadas (<2 km),848.113680154143,519,837.709055876686,10.4046242774566
p93,7,tratadas (<2 km),849.809248554913,519,837.709055876686,12.1001926782274
p93,8,tratadas (<2 km),850.02119460501,519,837.709055876686,12.3121387283237
p93,9,tratadas (<2 km),851.223506743738,519,837.709055876686,13.514450867052
p93,10,tratadas (<2 km),855.385356454721,519,837.709055876686,17.6763005780347
p93,11,tratadas (<2 km),854.685934489403,519,837.709055876686,16.9768786127167
p93,12,tratadas (<2 km),852.745664739885,519,837.709055876686,15.0366088631985
p93,-12,"control (>5 km, misma region)",903.471463199648,9076,938.308928768028,-34.8374655683807
p93,-11,"control (>5 km, misma region)",906.013556706712,9073,938.308928768028,-32.2953720613159
p93,-10,"control (>5 km, misma region)",907.272977738594,9074,938.308928768028,-31.0359510294344
p93,-9,"control (>5 km, misma region)",909.417925256311,9071,938.308928768028,-28.8910035117168
p93,-8,"control (>5 km, misma region)",912.877521772682,9071,938.308928768028,-25.431406995346
p93,-7,"control (>5 km, misma region)",918.035718222908,9071,938.308928768028,-20.27321054512
p93,-6,"control (>5 km, misma region)",923.125275451741,9076,938.308928768028,-15.1836533162873
p93,-5,"control (>5 km, misma region)",928.464199162811,9078,938.308928768028,-9.84472960521703
p93,-4,"control (>5 km, misma region)",932.45456548078,9079,938.308928768028,-5.85436328724836
p93,-3,"control (>5 km, misma region)",934.876114965312,9081,938.308928768028,-3.43281380271594
p93,-2,"control (>5 km, misma region)",936.852720863626,9078,938.308928768028,-1.45620790440182
p93,-1,"control (>5 km, misma region)",938.308928768028,9083,938.308928768028,0
p93,0,"control (>5 km, misma region)",939.036319612591,9086,938.308928768028,0.727390844562592
p93,1,"control (>5 km, misma region)",940.773032471106,9085,938.308928768028,2.46410370307808
p93,2,"control (>5 km, misma region)",945.795509575171,9086,938.308928768028,7.48658080714245
p93,3,"control (>5 km, misma region)",949.9954900451,9091,938.308928768028,11.6865612770714
p93,4,"control (>5 km, misma region)",955.177699582142,9094,938.308928768028,16.8687708141139
p93,5,"control (>5 km, misma region)",957.675134719015,9093,938.308928768028,19.3662059509865
p93,6,"control (>5 km, misma region)",960.041240514682,9093,938.308928768028,21.7323117466534
p93,7,"control (>5 km, misma region)",960.138852242744,9096,938.308928768028,21.8299234747159
p93,8,"control (>5 km, misma region)",963.26764899934,9094,938.308928768028,24.9587202313121
p93,9,"control (>5 km, misma region)",968.601759208356,9095,938.308928768028,30.2928304403281
p93,10,"control (>5 km, misma region)",971.842260334213,9096,938.308928768028,33.5333315661845
p93,11,"control (>5 km, misma region)",975.980450797141,9095,938.308928768028,37.671522029113
p93,12,"control (>5 km, misma region)",977.571475698263,9094,938.308928768028,39.2625469302344
pdi,-12,tratadas (<2 km),637.187739463602,522,629.155172413793,8.03256704980845
pdi,-11,tratadas (<2 km),638.900383141762,522,629.155172413793,9.74521072796927
pdi,-10,tratadas (<2 km),636.88122605364,522,629.155172413793,7.72605363984667
pdi,-9,tratadas (<2 km),637.105363984674,522,629.155172413793,7.9501915708812
