days_to_event,median_sd,ci_low,ci_high,n_comunas
-20,0.00616114989066899,0.00188579869782409,0.0120463755945716,493
-19,0.00582960564435405,0.00185196716675539,0.0120463755945716,493
-18,0.00586875581177603,0.00185196716675539,0.0118905796893656,493
-17,0.00555015228677593,0.00177969102905113,0.0113385092320053,493
-16,0.00547157375288195,0.00178470086221745,0.0113385092320053,493
-15,0.00537225306038053,0.00167390026468621,0.0113385092320053,493
-14,0.00477006539197897,0.00156060260590473,0.0108557000429976,493
-13,0.00464236815028027,0.00156257276954138,0.0108671066410654,493
-12,0.00464236815028027,0.00156257276954138,0.0108531392909317,493
-11,0.00464236815028027,0.00156257276954138,0.0108531392909317,493
-10,0.00429101374750624,0.0015564724333502,0.0104103293328651,493
-9,0.00424672726809606,0.00151414849994198,0.0104103293328651,493
-8,0.00426090693493029,0.00156177191465153,0.0105183020256954,493
-7,0.00455577140102235,0.00174631386309318,0.0104755635716944,493
-6,0.00449892432386934,0.00163504750701057,0.0104174797272364,493
-5,0.00449892432386934,0.00164379663051157,0.0104755635716944,493
-4,0.00449892432386934,0.00164379663051157,0.0104362088381711,493
-3,0.00431660263450272,0.00161943461407166,0.0104120745016715,493
-2,0.00431660263450272,0.00163504750701057,0.0104120745016715,493
-1,0.00744848098035029,0.00213986695049032,0.0633942993159018,493
0,0.00576298480920391,0.00143183828135736,0.0875876654885828,493
1,0.00393249776612493,0.00119459651798426,0.057611438670297,493
2,0.00339729808154316,0.00118198526785416,0.0225117400105351,493
3,0.00326289874594637,0.00115372468520873,0.0181059446273658,493
4,0.00304322420252715,0.00112288580456613,0.0140489271276199,493
5,0.00295471150154051,0.00109998876460534,0.0124597254648416,493
6,0.00296003560540858,0.00112464255034408,0.0113525193204991,493
7,0.00369963010094708,0.00143619544007117,0.0104841724260009,493
8,0.00350996628277917,0.00133720489833466,0.0102877195661023,493
9,0.00348749440883092,0.00132362760687746,0.0102877195661023,493
10,0.00345908378633371,0.00132362760687746,0.0102877195661023,493
11,0.00326883694111575,0.00117866086570413,0.00995994213595837,493
12,0.00320202472035451,0.00117452902608493,0.0086768420030394,493
13,0.00298233237220748,0.00112464255034408,0.00811636998278942,493
14,0.00298233237220748,0.00109208882302192,0.00802394843169517,493
15,0.00294004591635526,0.00106608768816775,0.00799871113417894,493
16,0.00294004591635526,0.00106608768816775,0.00799871113417894,493
17,0.00294004591635526,0.00106608768816775,0.00799871113417894,493
18,0.00296003560540858,0.00104058352444606,0.00799871113417894,493
19,0.00296003560540858,0.00104058352444606,0.00780355548490394,493
20,0.00361100986228636,0.00120412549015411,0.00886462088604306,493
