event_week,mean_sd,ci_low,ci_high,n_comunas
-12,0.00304332163498553,0.00119477155891271,0.00854073053576605,426
-11,0.00201982260681957,0.000994434120392217,0.00389882413036693,39
-10,0.00556124735939975,0.00136597917341481,0.0112859091205931,263
-9,0.00305455683156942,0.00120129406114857,0.0089759680319426,438
-8,0.00194067500099655,0.000473626249960585,0.00431948245137903,227
-7,0.00283276600405326,0.00081036419672578,0.00677055586875809,150
-6,0.0029562656426935,0.00106916079361472,0.00814705009769507,475
-5,0.00376738869691758,0.00127826365347709,0.00792808398574987,67
-4,0.00274363942852371,0.000660596083399395,0.00709417261626696,153
-3,0.00291634193352949,0.00108763826114723,0.00790175068030768,457
-2,0.00230511213531975,0.000676948685013511,0.00550256824206041,257
-1,0.00397280434659095,0.00107140153988772,0.0885197427378625,260
0,0.00228909789104335,0.000916643870214484,0.00586533545950229,475
1,0.00164380070121372,0.000372123937593945,0.00339450533743809,273
2,0.00545754090938645,0.00221222844654022,0.0109619886022948,106
3,0.00238794858337312,0.000834594770134663,0.0060491232187451,470
4,0.00162451507426729,0.0003610129598788,0.00336045259089442,124
5,0.00433791931931311,0.00144479648517343,0.00898689958405817,52
6,0.00230574285253872,0.000752255995745163,0.00498216720703321,243
7,0.00344717192086826,0.00105830046527883,0.00542310331959013,30
8,0.0101546634914105,0.00294214112077652,0.0213982248747668,39
9,0.00294446842750808,0.000790349567899045,0.00684812971310206,193
10,0.00204828231719862,0.000745595336758356,0.00674034444089939,106
11,0.0298596330615178,0.0136145101364841,0.0368397440495725,53
12,0.00305803131149769,0.00103834713835655,0.00775871523322531,454
