tipo,grupo,outcome,att,att_se,att_p,att_lvl,se_lvl,p_lvl,n_obs,n_trat,n_ctrl
precio,anillo,p93,-0.381636192510507,0.0915667722571962,4.82658205739274e-05,-3.07298608224618,0.922473164104809,0.00105468451428155,145051,668,371
precio,anillo,p95,-0.348595919828138,0.0962432520315293,0.000382155367090891,-3.13442107282022,0.967685066170926,0.00143355030512532,145638,672,375
precio,anillo,p97,-0.206737542800698,0.0869446800372076,0.0185396913464713,-2.0354681770673,1.15212149611808,0.079092202637318,131125,615,356
precio,anillo,pdi,-0.471649083503866,0.117953068261706,9.3449450832117e-05,-3.01636951309075,0.831616758789252,0.00037468138010274,146170,675,374
precio,lejano,p93,-0.309338020726057,0.0984471590025264,0.00186810364608069,-3.64967917640497,0.888984630657806,5.38428997761629e-05,134574,668,339
precio,lejano,p95,-0.29197668677823,0.103700836399118,0.00523624737465262,-3.31188544765632,0.876070204668218,0.000193650706811501,133937,672,336
precio,lejano,p97,-0.203945334468208,0.0981225890681418,0.0387109731984381,-2.56601175583436,0.806955106804459,0.00166409474708448,114901,615,283
precio,lejano,pdi,-0.496019375652765,0.122862300269337,7.06555930571739e-05,-3.95963493470749,0.774692607925537,6.09356129410003e-07,136469,675,345
precio,nunca,p93,-0.361715369292682,0.091159332761634,9.15792813043534e-05,-3.55073742912636,0.904792977363624,0.000108825537842982,194326,668,710
precio,nunca,p95,-0.324082123332866,0.0926308243072067,0.000541838709581109,-3.31253242664484,0.924690531626148,0.000399918786975227,194025,672,711
precio,nunca,p97,-0.208275380256906,0.0837664175230897,0.0135143330465292,-2.31800602099981,1.04917235106278,0.0279949979346975,170359,615,639
precio,nunca,pdi,-0.484091222242324,0.113088313154842,2.53271331277111e-05,-3.54300934139136,0.786092475819626,9.53250768889213e-06,196552,675,719
margen,anillo,m93,-2.96145334026627,1.03845543710344,0.00487084601510462,,,,118261,662,366
margen,anillo,m97,-2.2608038090301,1.14064357820141,0.0491054167037799,,,,106988,607,347
margen,anillo,mdi,-3.63373511512381,0.889949421324429,6.72084370954409e-05,,,,118942,669,369
margen,lejano,m93,-3.32221888019505,1.0602483779776,0.00192407902150566,,,,109745,662,311
margen,lejano,m97,-2.54860972384926,0.965343730810624,0.00882690549898566,,,,94135,607,259
margen,lejano,mdi,-3.86379270816678,0.865178768433485,1.17961988287362e-05,,,,111071,669,317
margen,nunca,m93,-3.35249213331115,0.99049228210218,0.000811919000173823,,,,158739,662,677
margen,nunca,m97,-2.42163501562687,1.05898294012583,0.0229901374159651,,,,139660,607,606
margen,nunca,mdi,-3.76601278250948,0.841751112579963,1.10361806143639e-05,,,,160203,669,686
