tipo,outcome,control,att,att_se,att_p,n_obs,n_eventos
margen,m93,anillo,-0.726656571759334,0.346066075698195,0.0374237760996178,65350,338
margen,m93,lejano,-3.15877038986241,0.620365093941437,6.32192590980695e-07,272871,403
margen,m97,anillo,0.0742834428507186,0.512871042036444,0.885040953690625,59925,324
margen,m97,lejano,-2.8323952196688,0.6728721639774,3.50162559413272e-05,208058,403
margen,mdi,anillo,-0.63952972207998,0.507844229623777,0.209864081664495,65970,342
margen,mdi,lejano,-3.11931790007546,0.610463993574222,5.74087823366018e-07,281157,403
precio,p93,anillo,-0.0883258268125435,0.0415442860570048,0.035135071217064,70324,338
precio,p93,lejano,-0.329600489088752,0.073539296138387,1.05835406610367e-05,291059,403
precio,p93,twfe panel,-0.361715369292682,0.091159332761634,9.15792813043534e-05,194326,668
precio,p95,anillo,-0.0698107225407289,0.0400610173725923,0.0834376407668639,70640,341
precio,p95,lejano,-0.385616304565859,0.0795716278737644,2.03141691595734e-06,290439,402
precio,p95,twfe panel,-0.324082123332866,0.0926308243072067,0.000541838709581109,194025,672
precio,p97,anillo,0.00690659316849003,0.0565312272800883,0.902932293838683,64535,324
precio,p97,lejano,-0.272278873550956,0.0744858283150412,0.000309108974616865,221474,403
precio,p97,twfe panel,-0.208275380256906,0.0837664175230897,0.0135143330465292,170359,615
precio,pdi,anillo,-0.0749751558897846,0.0897267018886878,0.404703179110619,71068,342
precio,pdi,lejano,-0.474506544534266,0.0966503441840872,1.49713120974493e-06,299987,403
precio,pdi,twfe panel,-0.484091222242324,0.113088313154842,2.53271331277111e-05,196552,675
