tipo,outcome,control,event_time,estimate,se,ci_low,ci_high
precio,p93,anillo,-12,0.0650436388949691,0.0710000517256173,-0.0741164624872408,0.204203740277179
precio,p93,anillo,-11,0.00861894273916224,0.0846121527954175,-0.157220876739856,0.17445876221818
precio,p93,anillo,-10,-0.0114562274315939,0.0750459522975565,-0.158546293934805,0.135633839071617
precio,p93,anillo,-9,-0.0228332183097157,0.0777160255694321,-0.175156628425803,0.129490191806371
precio,p93,anillo,-8,-0.0260119089720131,0.0891349119993233,-0.200716336490687,0.148692518546661
precio,p93,anillo,-7,0.0711375638340528,0.0802984985418184,-0.0862474933079113,0.228522620976017
precio,p93,anillo,-6,-0.00819004316303344,0.0685667784315011,-0.142580928888776,0.126200842562709
precio,p93,anillo,-5,0.0437345403750286,0.0615632876646169,-0.0769295034476205,0.164398584197678
precio,p93,anillo,-4,0.0497206130040278,0.0557010579839293,-0.0594534606444735,0.158894686652529
precio,p93,anillo,-3,0.0111114052213649,0.0516683956577575,-0.0901586502678397,0.11238146071057
precio,p93,anillo,-2,-0.0321324353066859,0.0377922035063823,-0.106205154179195,0.0419402835658235
precio,p93,anillo,-1,0,0,0,0
precio,p93,anillo,0,-0.0253021056138825,0.0591568178021981,-0.141249468506191,0.0906452572784258
precio,p93,anillo,1,0.0231248364109245,0.0642305148228312,-0.102766972641825,0.149016645463673
precio,p93,anillo,2,-0.138482589220619,0.0668581749561079,-0.26952461213459,-0.00744056630664752
precio,p93,anillo,3,-0.142988385636971,0.0720323764816487,-0.284171843541002,-0.00180492773293917
precio,p93,anillo,4,-0.136396683684799,0.0947019307167778,-0.322012467889683,0.0492191005200857
precio,p93,anillo,5,-0.107206249861371,0.0904303014471919,-0.284449640697867,0.0700371409751257
precio,p93,anillo,6,-0.0304072045846992,0.0841493797576962,-0.195339988909784,0.134525579740385
precio,p93,anillo,7,-0.0937158725716433,0.0672837745452746,-0.225592070680382,0.0381603255370949
precio,p93,anillo,8,-0.0142684779547654,0.0751000367524148,-0.161464549989498,0.132927594079968
precio,p93,anillo,9,-0.00625139102576271,0.0642921520453754,-0.132264009034699,0.119761226983173
precio,p93,anillo,10,-0.069273027638936,0.0715583480667882,-0.209527389849841,0.070981334571969
precio,p93,anillo,11,-0.155427808990855,0.083006047449255,-0.318119661991395,0.00726404400968525
precio,p93,anillo,12,-0.10779531611552,0.0999116580736722,-0.303622165939917,0.0880315337088779
precio,p93,lejano,-12,0.145519007763094,0.0743067027467875,-0.000122129620609479,0.291160145146798
precio,p93,lejano,-11,0.116196780751395,0.0746774680876291,-0.0301710567003582,0.262564618203148
precio,p93,lejano,-10,0.157124116393767,0.0648425746387272,0.0300326701018612,0.284215562685672
precio,p93,lejano,-9,0.190689820176198,0.0639610392902491,0.0653261831673099,0.316053457185086
precio,p93,lejano,-8,0.162572853999858,0.0669835631286881,0.0312850702676291,0.293860637732086
precio,p93,lejano,-7,0.186178461777129,0.063211544336507,0.0622838348775751,0.310073088676683
precio,p93,lejano,-6,0.0983159033791628,0.0540803293778447,-0.00768154220141275,0.204313348959738
precio,p93,lejano,-5,0.0793666529047986,0.0542051900742267,-0.0268755196406858,0.185608825450283
precio,p93,lejano,-4,0.0779659303332063,0.0457986787255879,-0.0117994799689459,0.167731340635359
precio,p93,lejano,-3,0.0611581225264205,0.0428750144475855,-0.0228769057908471,0.145193150843688
precio,p93,lejano,-2,0.0651517379827761,0.0407544081842239,-0.0147269020583028,0.145030378023855
precio,p93,lejano,-1,0,0,0,0
precio,p93,lejano,0,-0.0403932628076386,0.0385237808746548,-0.115899873321962,0.0351133477066848
precio,p93,lejano,1,-0.128682419443244,0.0691964039117533,-0.26430737111028,0.00694253222379296
precio,p93,lejano,2,-0.245720406229408,0.0747725373534107,-0.392274579442093,-0.099166233016723
precio,p93,lejano,3,-0.203351114343114,0.0760867119368947,-0.352481069739428,-0.0542211589468005
precio,p93,lejano,4,-0.199289697932491,0.0899679655956418,-0.375626910499949,-0.0229524853650326
precio,p93,lejano,5,-0.255854046139452,0.0937080596398263,-0.439521843033511,-0.072186249245392
precio,p93,lejano,6,-0.23181731602981,0.0995240623003782,-0.426884478138552,-0.036750153921069
precio,p93,lejano,7,-0.267436932747972,0.0971294077330574,-0.457810571904765,-0.0770632935911799
precio,p93,lejano,8,-0.257922567928793,0.0949024823046863,-0.443931433245979,-0.0719137026116081
precio,p93,lejano,9,-0.229405998588835,0.087396373263008,-0.400702890184331,-0.0581091069933397
precio,p93,lejano,10,-0.267663514141507,0.0835792567964618,-0.431478857462572,-0.103848170820442
precio,p93,lejano,11,-0.339782542636687,0.0909945255877568,-0.51813181278869,-0.161433272484683
precio,p93,lejano,12,-0.274685393350782,0.0996383707010994,-0.469976599924937,-0.0793941867766275
precio,p95,anillo,-12,0.0426843410492458,0.085873961760502,-0.125628624001338,0.21099730609983
precio,p95,anillo,-11,-0.0438711487567342,0.0966041482493181,-0.233215279325398,0.145472981811929
precio,p95,anillo,-10,-0.0822765241015482,0.0839680676692685,-0.246853936733314,0.082300888530218
precio,p95,anillo,-9,-0.0676911820797231,0.0801771969377379,-0.224838488077689,0.0894561239182433
precio,p95,anillo,-8,-0.0623316725844561,0.0886556223874184,-0.236096692463796,0.111433347294884
precio,p95,anillo,-7,0.0208926555608778,0.08573039315431,-0.14713891502157,0.188924226143325
precio,p95,anillo,-6,-0.0715622805182738,0.0758478115740291,-0.220223991203371,0.0770994301668233
precio,p95,anillo,-5,0.00938796964237183,0.0707403365965025,-0.129263090086773,0.148039029371517
precio,p95,anillo,-4,0.0447697679860351,0.0621880306802366,-0.0771187721472286,0.166658308119299
precio,p95,anillo,-3,0.019003424437063,0.0593956246327633,-0.0974119998431531,0.135418848717279
precio,p95,anillo,-2,-0.0488948777434782,0.0384912538468586,-0.124337735283321,0.0265479797963647
precio,p95,anillo,-1,0,0,0,0
precio,p95,anillo,0,-0.0433293121782295,0.0450467491258335,-0.131620940464863,0.0449623161084042
precio,p95,anillo,1,0.0493736796211104,0.0672327241059341,-0.0824024596265204,0.181149818868741
precio,p95,anillo,2,-0.0625441671369132,0.0570313261751987,-0.174325566440303,0.0492372321664762
precio,p95,anillo,3,-0.0936569690626673,0.07535510190846,-0.241352968803249,0.0540390306779144
precio,p95,anillo,4,-0.0984326001689769,0.0921557917003851,-0.279057951901732,0.082192751563778
precio,p95,anillo,5,-0.149777896112737,0.0809961820813213,-0.308530412992127,0.0089746207666522
precio,p95,anillo,6,-0.0560871853753123,0.0829245714821747,-0.218619345480375,0.10644497472975
precio,p95,anillo,7,-0.168976991080471,0.0824737136491361,-0.330625469832778,-0.00732851232816437
precio,p95,anillo,8,-0.0921056934403172,0.078259937570252,-0.245495171078011,0.0612837841973767
precio,p95,anillo,9,-0.0530386380140291,0.0685844380977608,-0.18746413668564,0.0813868606575819
precio,p95,anillo,10,-0.107497034696268,0.0726510692041773,-0.249893130336455,0.0348990609439199
precio,p95,anillo,11,-0.189793127633391,0.0861898035319984,-0.358725142556108,-0.0208611127106742
precio,p95,anillo,12,-0.137410241710512,0.0911250177768583,-0.316015276553154,0.0411947931321304
precio,p95,lejano,-12,0.139589994319544,0.0759393855847424,-0.00925120142655073,0.28843119006564
precio,p95,lejano,-11,0.122857559243802,0.0763707405049739,-0.026829092145947,0.272544210633551
precio,p95,lejano,-10,0.153989810783002,0.0658368103664436,0.024949662464773,0.283029959101232
precio,p95,lejano,-9,0.15730147519312,0.0665310136189997,0.0269006884998808,0.28770226188636
precio,p95,lejano,-8,0.153175428143958,0.0621614453158696,0.0313389953248531,0.275011860963062
precio,p95,lejano,-7,0.16235969294663,0.0613310120228736,0.0421509093817973,0.282568476511462
precio,p95,lejano,-6,0.0468388160524269,0.050811603225822,-0.0527519262701842,0.146429558375038
precio,p95,lejano,-5,0.0771399523886572,0.0557806461466796,-0.0321901140588347,0.186470018836149
precio,p95,lejano,-4,0.0733011211988891,0.0439760607902864,-0.0128919579500722,0.15949420034785
precio,p95,lejano,-3,0.0812148168811582,0.04348603615727,-0.00401781398709111,0.166447447749407
precio,p95,lejano,-2,0.0339337367807668,0.0415140180597234,-0.0474337386162911,0.115301212177825
precio,p95,lejano,-1,0,0,0,0
precio,p95,lejano,0,-0.0782135915690255,0.0360249180683995,-0.148822430983089,-0.00760475215496245
precio,p95,lejano,1,-0.117319923772736,0.0670342970469195,-0.248707145984698,0.0140672984392266
precio,p95,lejano,2,-0.274932681112712,0.0770389694365583,-0.425929061208366,-0.123936301017058
precio,p95,lejano,3,-0.22313150910223,0.0881830623681864,-0.395970311343876,-0.050292706860585
precio,p95,lejano,4,-0.317263647126591,0.103722248314467,-0.520559253822946,-0.113968040430235
precio,p95,lejano,5,-0.361665718134112,0.100150793951024,-0.55796127427812,-0.165370161990104
precio,p95,lejano,6,-0.313955136291651,0.101319284519549,-0.512540933949968,-0.115369338633334
precio,p95,lejano,7,-0.370777067356518,0.104310385285264,-0.575225422515635,-0.166328712197401
precio,p95,lejano,8,-0.384606977435944,0.0996228158088405,-0.579867696421271,-0.189346258450617
precio,p95,lejano,9,-0.32138637005874,0.0863252659352134,-0.490583891291758,-0.152188848825722
precio,p95,lejano,10,-0.335151230956918,0.0822944794089503,-0.49644841059846,-0.173854051315375
precio,p95,lejano,11,-0.396601008686274,0.0942171824220645,-0.58126668623352,-0.211935331139027
precio,p95,lejano,12,-0.357356858746706,0.0966379327219783,-0.546767206881784,-0.167946510611629
precio,p97,anillo,-12,-0.0682767746513558,0.108617670885703,-0.281167409587333,0.144613860284622
precio,p97,anillo,-11,-0.100727904799411,0.116452100258753,-0.328974021306566,0.127518211707745
precio,p97,anillo,-10,-0.130581742150322,0.10988774295838,-0.345961718348747,0.0847982340481026
precio,p97,anillo,-9,-0.134661288211351,0.108623704732949,-0.347563749487932,0.0782411730652293
precio,p97,anillo,-8,-0.157394450677595,0.115267335182852,-0.383318427635985,0.0685295262807954
precio,p97,anillo,-7,-0.0609920085512971,0.115744977738655,-0.287852164919061,0.165868147816467
precio,p97,anillo,-6,-0.135108667478412,0.104489156257982,-0.339907413744057,0.0696900787872328
precio,p97,anillo,-5,-0.0431649793244517,0.0947597978857732,-0.228894183180567,0.142564224531664
precio,p97,anillo,-4,-0.00695524946599209,0.0873171684735968,-0.178096899674242,0.164186400742258
