tipo,outcome,control,pre_stat,pre_df,pre_p
margen,m93,anillo,1.64278742515453,11,0.0922176474390105
margen,m93,lejano,1.8958202321747,11,0.0394689030407466
margen,m97,anillo,1.27416081824339,11,0.245026210529628
margen,m97,lejano,1.36614192040613,11,0.188799425636137
margen,mdi,anillo,2.33844081795794,11,0.0109770746338518
margen,mdi,lejano,1.53229460753522,11,0.118874263720516
precio,p93,anillo,1.58393573183257,11,0.10876584756746
precio,p93,lejano,1.61791731967987,11,0.0928058174060633
precio,p93,twfe panel,0.834051550638693,11,0.606048043657998
precio,p95,anillo,2.08368481967625,11,0.0246604292629352
precio,p95,lejano,1.39139868010245,11,0.175802283107117
precio,p95,twfe panel,0.67394026368046,11,0.762986895118787
precio,p97,anillo,1.06292495651196,11,0.395380365862851
precio,p97,lejano,0.897855434260569,11,0.54298348853649
precio,p97,twfe panel,0.75620583456313,11,0.683616064617085
precio,pdi,anillo,1.79771416863834,11,0.0588470614268342
precio,pdi,lejano,1.4815505536131,11,0.137198419973462
precio,pdi,twfe panel,0.64618240950602,11,0.788413687135626
