outcome,spec,est,se,p,n_obs,ci_low,ci_high
p93,1. solo mes,-0.706722520008522,0.242976381013006,0.00391314641437209,194337,-1.18295622679401,-0.230488813223031
p93,2. mes + grupo tratado,-0.659428105036082,0.244588800010853,0.00742922534348638,194337,-1.13882215305735,-0.180034057014809
p93,3. mes + comuna + distribuidor,-0.226795637869237,0.0930793542611235,0.0154325886076727,194336,-0.409231172221039,-0.0443601035174346
p93,4. mes + estacion,-0.414258151181704,0.122374163396406,0.000810129400404246,194333,-0.65411151143866,-0.174404790924748
p93,5. mes + estacion + region x anio,-0.37816492374472,0.0953788823448564,9.27059886040702e-05,194333,-0.565107533140638,-0.191222314348801
p93,6. + marca x anio (preferida),-0.361715369292682,0.091159332761634,9.15792813043534e-05,194326,-0.540387661505484,-0.183043077079879
p93,7. estacion + comuna x mes + marca,-0.177712678521074,0.0549883705331503,0.00141787245304584,182022,-0.285489884766049,-0.0699354722760995
p95,1. solo mes,-0.649833087753046,0.243737330580743,0.00810827144969913,194035,-1.1275582556913,-0.172107919814789
p95,2. mes + grupo tratado,-0.610147486219066,0.256158231379973,0.0178744501777503,194035,-1.11221761972381,-0.10807735271432
p95,3. mes + comuna + distribuidor,-0.248444849272581,0.0987592132605696,0.0124269333286631,194034,-0.442012907263298,-0.054876791281865
p95,4. mes + estacion,-0.384786074104744,0.122610676725426,0.00187633246369084,194033,-0.625103000486579,-0.144469147722909
p95,5. mes + estacion + region x anio,-0.339913904712685,0.0989715213908315,0.000681321255979292,194033,-0.533898086638715,-0.145929722786655
p95,6. + marca x anio (preferida),-0.324082123332866,0.0926308243072067,0.000541838709581109,194025,-0.505638538974992,-0.142525707690741
p95,7. estacion + comuna x mes + marca,-0.207469637545933,0.0651542233771788,0.00166032888233866,181743,-0.335171915365204,-0.0797673597266627
p97,1. solo mes,-0.468794261330404,0.241777517288156,0.0535572065772049,170370,-0.94267819521519,0.00508967255438231
p97,2. mes + grupo tratado,-0.488775892768087,0.251730116473581,0.0532254397510954,170370,-0.982166921056307,0.00461513552013226
p97,3. mes + comuna + distribuidor,-0.125422903344423,0.0902356713672278,0.165698044485233,170368,-0.302284819224189,0.0514390125353439
p97,4. mes + estacion,-0.31135167117525,0.116032798027866,0.00774329935210272,170363,-0.538775955309867,-0.0839273870406333
p97,5. mes + estacion + region x anio,-0.247513801638131,0.0830478426907037,0.00314329600086861,170363,-0.41028757331191,-0.0847400299643514
p97,6. + marca x anio (preferida),-0.208275380256906,0.0837664175230897,0.0135143330465292,170359,-0.372457558602162,-0.0440932019116501
p97,7. estacion + comuna x mes + marca,-0.0810153369985005,0.0844348144461198,0.338512847315834,154849,-0.246507573312895,0.0844768993158943
pdi,1. solo mes,-0.781399189237309,0.259235319901683,0.00280307871558198,196563,-1.28950041624461,-0.273297962230011
pdi,2. mes + grupo tratado,-0.843473987995391,0.293993360116074,0.00441888983826612,196563,-1.4197009738229,-0.267247002167886
pdi,3. mes + comuna + distribuidor,-0.257847918845273,0.104788496681897,0.0144493043620334,196562,-0.46323337234179,-0.0524624653487558
pdi,4. mes + estacion,-0.518906067482353,0.135645953403698,0.000159760022771222,196560,-0.784772136153602,-0.253039998811104
pdi,5. mes + estacion + region x anio,-0.516862828398868,0.114497794558029,9.24068875480447e-06,196560,-0.741278505732605,-0.292447151065131
pdi,6. + marca x anio (preferida),-0.484091222242324,0.113088313154842,2.53271331277111e-05,196552,-0.705744316025814,-0.262438128458834
pdi,7. estacion + comuna x mes + marca,-0.122220080326915,0.0761014123340498,0.109672930313589,184036,-0.271378848501653,0.0269386878478223
