radio,outcome,tipo,att,att_se,att_p,pre_F,pre_p,n_trat,n_drop
"Entrada en [0, 1] km",m93,nivel,-2.40168293571744,1.00654126874581,0.0176730696537054,1.13315878153305,0.335922740565868,380,0
"Entrada en [0, 1] km",m93,log,-3.66266129891759,1.40176429235994,0.00944767692292135,1.74581554789965,0.157757700277449,380,238
"Entrada en [0, 1] km",m97,nivel,-0.759104465776598,0.893644547234097,0.39638189469106,3.06942307024574,0.0283498365089093,351,0
"Entrada en [0, 1] km",m97,log,-0.534076132524102,0.777605082328466,0.492782305252514,2.15431228145722,0.0937394272265484,350,97
"Entrada en [0, 1] km",mdi,nivel,-2.54244114059497,1.03044242212043,0.0141861108241372,1.80591044737648,0.146167613443378,385,0
"Entrada en [0, 1] km",mdi,log,-4.04520534934251,1.24830190128376,0.0013308419196599,2.10166186312043,0.100125401618434,385,126
"Entrada en [0, 2] km",m93,nivel,-3.35249213331115,0.99049228210218,0.000811919000173823,0.771415973271589,0.510803844387993,662,0
"Entrada en [0, 2] km",m93,log,-4.77060854885531,1.44412745018736,0.00107607728720975,0.597962767651245,0.616804994141717,662,200
"Entrada en [0, 2] km",m97,nivel,-2.42163501562687,1.05898294012583,0.0229901374159651,1.55051988832576,0.20181338830657,607,0
"Entrada en [0, 2] km",m97,log,-2.13740675411493,0.988319306552472,0.0314512812138265,1.56547806595505,0.1980850843206,605,83
"Entrada en [0, 2] km",mdi,nivel,-3.76601278250948,0.841751112579963,1.10361806143639e-05,1.25947271793954,0.288517558109287,669,0
"Entrada en [0, 2] km",mdi,log,-4.97899293011949,1.07219961075287,5.19392406949388e-06,2.18151336568098,0.0903390296461325,669,114
