radio,outcome,tipo,bin,estimate,se,ci_low,ci_high
"Entrada en [0, 1] km",p93,precio,-4,-0.0986615250893557,0.88923246429203,-1.84155715510173,1.64423410492302
"Entrada en [0, 1] km",p93,precio,-3,-0.287407764731067,0.640524942095917,-1.54283665123907,0.968021121776931
"Entrada en [0, 1] km",p93,precio,-2,0.407008570065559,0.47044211843912,-0.515057982075117,1.32907512220623
"Entrada en [0, 1] km",p93,precio,-1,0,0,0,0
"Entrada en [0, 1] km",p93,precio,0,-2.17710745041661,0.636619189994304,-3.42488106280545,-0.929333838027775
"Entrada en [0, 1] km",p93,precio,1,-3.21096764972579,0.766031041426833,-4.71238849092238,-1.7095468085292
"Entrada en [0, 1] km",p93,precio,2,-2.89028819721053,0.741175238760028,-4.34299166518018,-1.43758472924087
"Entrada en [0, 1] km",p93,precio,3,-2.62249885545987,0.904419241180168,-4.395160568173,-0.849837142746745
"Entrada en [0, 1] km",p93,precio,4,-2.94809108751952,1.21014903430922,-5.3199831947656,-0.576198980273437
"Entrada en [0, 1] km",m93,margen,-4,-2.47521222645053,1.34917205679112,-5.11958945776112,0.16916500486007
"Entrada en [0, 1] km",m93,margen,-3,0.10381317507561,1.26471038924118,-2.3750191878371,2.58264553798832
"Entrada en [0, 1] km",m93,margen,-2,0.254346939423249,1.21562906586733,-2.12828602967672,2.63697990852322
"Entrada en [0, 1] km",m93,margen,-1,0,0,0,0
"Entrada en [0, 1] km",m93,margen,0,-4.27191829158612,1.33466685007269,-6.88786531772861,-1.65597126544364
"Entrada en [0, 1] km",m93,margen,1,-6.67067732585198,1.76340149029838,-10.1269442468368,-3.21441040486714
"Entrada en [0, 1] km",m93,margen,2,-4.58931100039869,1.3145983392265,-7.16592374528262,-2.01269825551475
"Entrada en [0, 1] km",m93,margen,3,-4.37208680397621,1.70669500260885,-7.71720900908956,-1.02696459886286
"Entrada en [0, 1] km",m93,margen,4,-4.85627160908016,1.76070414880464,-8.30725174073725,-1.40529147742306
"Entrada en [0, 1] km",p97,precio,-4,-0.911107325918158,1.23014108034809,-3.32218384340041,1.49996919156409
"Entrada en [0, 1] km",p97,precio,-3,0.458929032159939,0.85007359454422,-1.20721521314673,2.12507327746661
"Entrada en [0, 1] km",p97,precio,-2,0.203226634862591,0.644172058776921,-1.05935060034017,1.46580387006536
"Entrada en [0, 1] km",p97,precio,-1,0,0,0,0
"Entrada en [0, 1] km",p97,precio,0,-2.33317950270477,0.688863122752543,-3.68335122329975,-0.983007782109786
"Entrada en [0, 1] km",p97,precio,1,-2.83023299870749,0.965407427003597,-4.72243155563454,-0.93803444178044
"Entrada en [0, 1] km",p97,precio,2,-1.42080188863422,0.980536138229172,-3.3426527195634,0.501048942294956
"Entrada en [0, 1] km",p97,precio,3,-0.56542784085037,1.1201093345463,-2.76084213656113,1.62998645486039
"Entrada en [0, 1] km",p97,precio,4,-1.86019228330527,1.1415141174726,-4.09755995355156,0.377175386941017
"Entrada en [0, 1] km",m97,margen,-4,-1.71114047070119,1.26283316015591,-4.18629346460677,0.764012523204386
"Entrada en [0, 1] km",m97,margen,-3,0.514850624024638,1.3067556709648,-2.04639049106636,3.07609173911564
"Entrada en [0, 1] km",m97,margen,-2,0.673726978137031,0.846884411114346,-0.986166467647088,2.33362042392115
"Entrada en [0, 1] km",m97,margen,-1,0,0,0,0
"Entrada en [0, 1] km",m97,margen,0,-2.34042702935452,0.958158528477126,-4.21841774516969,-0.462436313539353
"Entrada en [0, 1] km",m97,margen,1,-2.42775162481076,1.17916201178525,-4.73890916790984,-0.116594081711676
"Entrada en [0, 1] km",m97,margen,2,-1.10228217940049,1.16409322625379,-3.38390490285793,1.17934054405694
"Entrada en [0, 1] km",m97,margen,3,-0.125568965456171,1.24378479958217,-2.56338717263722,2.31224924172488
"Entrada en [0, 1] km",m97,margen,4,-0.922380241131226,1.26895247418048,-3.40952709052496,1.56476660826251
"Entrada en [0, 1] km",pdi,precio,-4,-0.840625307843581,0.735934160180174,-2.28305626179672,0.601805646109561
"Entrada en [0, 1] km",pdi,precio,-3,0.0341526164716069,0.562948135531968,-1.06922572917105,1.13753096211426
"Entrada en [0, 1] km",pdi,precio,-2,0.289893829667825,0.311841583042819,-0.3213156730961,0.901103332431751
"Entrada en [0, 1] km",pdi,precio,-1,0,0,0,0
"Entrada en [0, 1] km",pdi,precio,0,-2.10632316813591,0.618913904438591,-3.31939442083554,-0.893251915436269
"Entrada en [0, 1] km",pdi,precio,1,-2.62030904469432,0.72239777064641,-4.03620867516128,-1.20440941422736
"Entrada en [0, 1] km",pdi,precio,2,-2.47714134872353,0.679905804949455,-3.80975672642446,-1.1445259710226
"Entrada en [0, 1] km",pdi,precio,3,-2.83645859934936,0.783336840199877,-4.37179880614111,-1.3011183925576
"Entrada en [0, 1] km",pdi,precio,4,-3.34709482434138,1.04728818486566,-5.39977966667807,-1.29440998200469
"Entrada en [0, 1] km",mdi,margen,-4,-1.52108980714847,1.04099774255085,-3.56144538254814,0.519265768251198
"Entrada en [0, 1] km",mdi,margen,-3,-0.0722838501403015,1.07383618244114,-2.17700276772493,2.03243506744433
"Entrada en [0, 1] km",mdi,margen,-2,0.672189697473993,0.470380767652724,-0.249756607125346,1.59413600207333
"Entrada en [0, 1] km",mdi,margen,-1,0,0,0,0
"Entrada en [0, 1] km",mdi,margen,0,-3.47428234343525,0.988998563623202,-5.41271952813672,-1.53584515873377
"Entrada en [0, 1] km",mdi,margen,1,-4.32756015036651,1.07558423325402,-6.4357052475444,-2.21941505318863
"Entrada en [0, 1] km",mdi,margen,2,-4.05588609660236,1.02838509273174,-6.07152087835658,-2.04025131484815
"Entrada en [0, 1] km",mdi,margen,3,-4.81405775868869,1.14427613355707,-7.05683898046055,-2.57127653691682
"Entrada en [0, 1] km",mdi,margen,4,-5.34416295435363,1.31738884761818,-7.92624509568526,-2.76208081302199
"Entrada en [0, 2] km",p93,precio,-4,0.256751316367145,0.816390324985449,-1.34337372060433,1.85687635333862
"Entrada en [0, 2] km",p93,precio,-3,-0.0880277847494436,0.469504776572788,-1.00825714683211,0.83220157733322
"Entrada en [0, 2] km",p93,precio,-2,0.363254384285898,0.451733931298564,-0.522144121059287,1.24865288963108
"Entrada en [0, 2] km",p93,precio,-1,0,0,0,0
"Entrada en [0, 2] km",p93,precio,0,-1.95376440484353,0.588486133439094,-3.10719722638416,-0.800331583302905
"Entrada en [0, 2] km",p93,precio,1,-2.52672957084172,0.630630357218975,-3.76276507099091,-1.29069407069253
"Entrada en [0, 2] km",p93,precio,2,-2.62566562804719,0.714469191002645,-4.02602524241237,-1.22530601368201
"Entrada en [0, 2] km",p93,precio,3,-2.88758955961895,0.833150686454436,-4.52056490506964,-1.25461421416826
"Entrada en [0, 2] km",p93,precio,4,-4.21804545757364,1.20424431676514,-6.57836431843332,-1.85772659671395
"Entrada en [0, 2] km",m93,margen,-4,-0.923585197919002,1.4055964081316,-3.67855415785694,1.83138376201893
"Entrada en [0, 2] km",m93,margen,-3,0.148647489223808,1.29666494966268,-2.39281581211504,2.69011079056266
"Entrada en [0, 2] km",m93,margen,-2,0.782969039269912,1.09386095266799,-1.36099842795936,2.92693650649918
"Entrada en [0, 2] km",m93,margen,-1,0,0,0,0
"Entrada en [0, 2] km",m93,margen,0,-3.49746650020928,1.05640591955633,-5.56802210253969,-1.42691089787886
"Entrada en [0, 2] km",m93,margen,1,-4.79723418892611,1.3326940698549,-7.40931456584171,-2.18515381201051
"Entrada en [0, 2] km",m93,margen,2,-4.41261553507448,1.33822525476628,-7.03553703441639,-1.78969403573256
"Entrada en [0, 2] km",m93,margen,3,-4.4914889198208,1.67021647010988,-7.76511320123617,-1.21786463840543
"Entrada en [0, 2] km",m93,margen,4,-6.10936401796765,1.73458837881121,-9.50915724043762,-2.70957079549767
"Entrada en [0, 2] km",p97,precio,-4,0.25244823321476,1.23110506158957,-2.1605176875008,2.66541415393032
"Entrada en [0, 2] km",p97,precio,-3,0.200795132778456,0.66394527795045,-1.10053761200443,1.50212787756134
"Entrada en [0, 2] km",p97,precio,-2,0.419191021803877,0.581174665175485,-0.719911321940072,1.55829336554783
"Entrada en [0, 2] km",p97,precio,-1,0,0,0,0
"Entrada en [0, 2] km",p97,precio,0,-2.166529839358,0.501737066339778,-3.14993448938396,-1.18312518933203
"Entrada en [0, 2] km",p97,precio,1,-2.64010670367192,0.856855726717511,-4.31954392803824,-0.960669479305599
"Entrada en [0, 2] km",p97,precio,2,-1.32160570843594,0.936748651995174,-3.15763306634649,0.514421649474598
"Entrada en [0, 2] km",p97,precio,3,-1.33646751103521,1.033871934263,-3.36285650219069,0.689921480120272
"Entrada en [0, 2] km",p97,precio,4,-2.22616800993049,1.27495079976583,-4.72507157747151,0.272735557610529
"Entrada en [0, 2] km",m97,margen,-4,-0.00431023512104292,1.30640460802468,-2.56486326684942,2.55624279660733
"Entrada en [0, 2] km",m97,margen,-3,1.33534380685675,0.841934691556848,-0.314848188594674,2.98553580230817
"Entrada en [0, 2] km",m97,margen,-2,1.08458539830262,0.746364589346738,-0.378289196816986,2.54745999342223
"Entrada en [0, 2] km",m97,margen,-1,0,0,0,0
"Entrada en [0, 2] km",m97,margen,0,-2.12924822097692,0.589441250938033,-3.28455307281546,-0.973943369138373
"Entrada en [0, 2] km",m97,margen,1,-2.64777567442621,0.992540980065602,-4.59315599535479,-0.702395353497634
"Entrada en [0, 2] km",m97,margen,2,-1.2983892439598,1.24593302094866,-3.74041796501917,1.14363947709957
"Entrada en [0, 2] km",m97,margen,3,-1.22778821395247,1.32675905269086,-3.82823595722656,1.37265952932162
"Entrada en [0, 2] km",m97,margen,4,-1.65010185335657,1.57906124396613,-4.74506189153018,1.44485818481704
"Entrada en [0, 2] km",pdi,precio,-4,-0.139081407907067,0.666706732019278,-1.44582660266485,1.16766378685072
"Entrada en [0, 2] km",pdi,precio,-3,0.289639186166829,0.437642770096176,-0.568140643221676,1.14741901555533
"Entrada en [0, 2] km",pdi,precio,-2,0.202355969896066,0.317422767769698,-0.419792654932543,0.824504594724674
"Entrada en [0, 2] km",pdi,precio,-1,0,0,0,0
"Entrada en [0, 2] km",pdi,precio,0,-2.37336686537875,0.584445756467656,-3.51888054805536,-1.22785318270215
"Entrada en [0, 2] km",pdi,precio,1,-2.4698276590393,0.589207059523171,-3.62467349570472,-1.31498182237389
"Entrada en [0, 2] km",pdi,precio,2,-2.63216263231755,0.596918319179626,-3.80212253790962,-1.46220272672549
"Entrada en [0, 2] km",pdi,precio,3,-3.91573389374244,0.697052773329703,-5.28195732946866,-2.54951045801622
"Entrada en [0, 2] km",pdi,precio,4,-4.31126998131464,1.00239969435624,-6.27597338225286,-2.34656658037641
"Entrada en [0, 2] km",mdi,margen,-4,-0.555676793797712,1.04157327915609,-2.59716042094366,1.48580683334823
"Entrada en [0, 2] km",mdi,margen,-3,0.98950037099089,0.906982051221701,-0.788184449403645,2.76718519138542
"Entrada en [0, 2] km",mdi,margen,-2,1.27989961851101,0.579185273253343,0.14469648293446,2.41510275408757
"Entrada en [0, 2] km",mdi,margen,-1,0,0,0,0
"Entrada en [0, 2] km",mdi,margen,0,-3.78622169442142,1.00451918234852,-5.75507929182452,-1.81736409701831
"Entrada en [0, 2] km",mdi,margen,1,-4.03215662042463,0.938144953172077,-5.8709207286419,-2.19339251220736
"Entrada en [0, 2] km",mdi,margen,2,-3.84994207308787,0.931083255653066,-5.67486525416788,-2.02501889200786
"Entrada en [0, 2] km",mdi,margen,3,-5.30859746429166,1.08293972606676,-7.4311593273825,-3.18603560120081
"Entrada en [0, 2] km",mdi,margen,4,-5.84752434847175,1.29934815300017,-8.39424672835208,-3.30080196859142
