outcome,grupo,att,se,p
p93,Margen bajo o medio,-0.283807281245024,0.103333164673254,0.00689140582261013
p93,Margen alto,-0.544708384217909,0.1518171937986,0.000473107496424147
p95,Margen bajo o medio,-0.246615825752534,0.110680059121853,0.0276137926358623
p95,Margen alto,-0.508199760926412,0.167389578634366,0.00290496775289223
p97,Margen bajo o medio,-0.198999743314293,0.122025874262379,0.105429796697817
p97,Margen alto,-0.330681651290208,0.1419523965325,0.0214222643927934
pdi,Margen bajo o medio,-0.293238865234004,0.138840809741888,0.0366254176036071
pdi,Margen alto,-0.805507536944198,0.157947809153156,1.19448619518994e-06
m93,Margen bajo o medio,-2.62578490015138,1.04995658955215,0.0136523546153584
m93,Margen alto,-4.12482597109517,1.69518802484527,0.0163447499280985
m97,Margen bajo o medio,-2.64195280949711,1.36531718036141,0.0552252990330774
m97,Margen alto,-2.40645310649708,1.88560855047587,0.204224843217879
mdi,Margen bajo o medio,-2.54208732664141,0.917526164796632,0.0064292532160232
mdi,Margen alto,-5.19709556724135,1.31840626304422,0.000132270134748362
