outcome,grupo,pend,pend_se,pend_p,att,se,p,share_att
m93,Margen alto,0.245473662965084,0.441777337811703,0.578450011665225,-4.97700692846407,1.73180522981407,0.00473787247787482,-0.591858520174907
m93,Margen bajo o medio,0.094984254776352,0.402934745560731,0.813641327897596,-2.16187228179868,1.10988271395768,0.0535894376123443,-0.527233300002302
m97,Margen alto,-0.391271858818956,0.752588026043902,0.603132030569429,-3.87877947255542,1.70751517191192,0.0247671623652619,1.21049993665511
m97,Margen bajo o medio,-0.0495747760224785,0.427771315856691,0.907739057438191,-1.74657782679058,1.45037144690756,0.230706380988477,0.340607388428201
mdi,Margen alto,0.17550678635026,0.408453015092143,0.667423633951637,-6.00399061151382,1.40196845190587,3.57890572186985e-05,-0.350780268071088
mdi,Margen bajo o medio,-0.0406569299335303,0.333476713642396,0.902963684639134,-2.17415584477682,0.864825135225725,0.0131680258645097,0.224401190178915
p93,Margen alto,0.0185069034555881,0.0398787680352387,0.642591062896584,-0.534955331040453,0.165244650745141,0.00153096602154275,-0.415142776566261
p93,Margen bajo o medio,-0.0238942414222995,0.0306771059239474,0.436041627072376,-0.280859811539544,0.103875220834165,0.00777189825327061,1.0209039716144
p95,Margen alto,0.0222933975717137,0.0458112289740403,0.626516239682801,-0.570553732206014,0.180557613144887,0.00196001267297111,-0.468879188339037
p95,Margen bajo o medio,-0.0179141646746923,0.0365251776470288,0.623807923657355,-0.204174375252231,0.10422606184568,0.0522419218909547,1.05287441595322
p97,Margen alto,-0.0203933202506854,0.0632740149269445,0.747224173230455,-0.377232215923892,0.127594423079139,0.00370112941929599,0.648724665280439
p97,Margen bajo o medio,-0.00816076335949027,0.0458089710231107,0.858606972820008,-0.157226131129159,0.118910436754142,0.188433486301496,0.622855498704831
pdi,Margen alto,0.0310951585416123,0.0501468717241679,0.535203985551901,-0.84829147684974,0.166936525185325,1.28334318040405e-06,-0.439874633522274
pdi,Margen bajo o medio,-0.0336732607876831,0.0410570602114041,0.412126258109938,-0.285968900089151,0.128338946594624,0.0275970648956231,1.41301774188111
