def,outcome,dif,se,p,n_est
A,p93,-0.251146431022678,0.168666092737228,0.138943035841522,1077
A,p95,-0.202183355298136,0.197471329471839,0.307816712309853,1084
A,p97,-0.357048130231487,0.139554127665885,0.0118005380017604,971
A,pdi,-0.574357696839179,0.190381843852975,0.00306909072886353,1096
B,p93,-0.295846461689884,0.176562970539277,0.0962229241065585,1085
B,p95,-0.385010393689541,0.189800159129198,0.0445358059367202,1093
B,p97,-0.182425244820732,0.143022049533107,0.204422935833467,1015
B,pdi,-0.685581800842114,0.165886303508262,6.35251053291726e-05,1097
C,p93,-0.254095519500933,0.185411901431598,0.172912008384316,1084
C,p95,-0.366379356953788,0.199286874352878,0.0682608223901526,1093
C,p97,-0.220006084793702,0.163323900402626,0.180324463273019,1015
C,pdi,-0.562322576760645,0.154565450207692,0.00039589461222397,1084
