horizon,group,estimate,se,dimension,ci_low,ci_high
0,pooled,0.559509921484535,0.00665750876711955,pooled,0.546461204300981,0.57255863866809
1,pooled,0.618800368638077,0.00623690639736311,pooled,0.606576032099245,0.631024705176909
2,pooled,0.638171454664723,0.00593930863095246,pooled,0.626530409748057,0.64981249958139
3,pooled,0.648916257744701,0.00576651473281445,pooled,0.637613888868385,0.660218626621017
4,pooled,0.658291351332025,0.00559951574577163,pooled,0.647316300470313,0.669266402193738
5,pooled,0.663744963979781,0.00548292213646299,pooled,0.652998436592314,0.674491491367248
6,pooled,0.667131743513501,0.0054177474350207,pooled,0.65651295854086,0.677750528486141
7,pooled,0.669041624212115,0.00529418746808877,pooled,0.658665016774661,0.679418231649569
8,pooled,0.67128103925693,0.00521609203267862,pooled,0.66105749887288,0.68150457964098
9,pooled,0.668289963480528,0.00529554633145633,pooled,0.657910692670873,0.678669234290182
10,pooled,0.671570842758015,0.00522214706658618,pooled,0.661335434507506,0.681806251008524
11,pooled,0.67405475079183,0.00519594163911518,pooled,0.663870705179164,0.684238796404496
12,pooled,0.653633801838625,0.00574537687816573,pooled,0.64237286315742,0.66489474051983
13,pooled,0.656786677745903,0.00566238406123109,pooled,0.64568840498589,0.667884950505916
14,pooled,0.659164709412087,0.0055780916138701,pooled,0.648231649848901,0.670097768975272
15,pooled,0.66954958409934,0.00515275973276591,pooled,0.659450175023118,0.679648993175561
16,pooled,0.683281183841177,0.0050333368564721,pooled,0.673415843602492,0.693146524079863
17,pooled,0.693549376446905,0.00468435127860193,pooled,0.684368047940845,0.702730704952965
18,pooled,0.690469642896917,0.00522460807910761,pooled,0.680229411061866,0.700709874731968
19,pooled,0.680070319478161,0.00499086938174673,pooled,0.670288215489938,0.689852423466385
20,pooled,0.669307606555625,0.00546402240055082,pooled,0.658598122650545,0.680017090460704
21,pooled,0.678161063360835,0.00509876544205075,pooled,0.668167483094415,0.688154643627254
22,pooled,0.674672907194146,0.0051504246927695,pooled,0.664578074796318,0.684767739591975
23,pooled,0.674158234272279,0.00510775574943268,pooled,0.664147033003391,0.684169435541167
24,pooled,0.668568725296966,0.00511637386668324,pooled,0.658540632518267,0.678596818075665
25,pooled,0.675054698318156,0.00507687657561873,pooled,0.665104020229943,0.685005376406368
26,pooled,0.678186074267141,0.00512284774298869,pooled,0.668145292690883,0.688226855843399
0,93,0.582574913507156,0.00676650300639583,combustible,0.56931256761462,0.595837259399692
1,93,0.649061954179306,0.0063704178807339,combustible,0.636575935133067,0.661547973225544
2,93,0.672653832373857,0.00590903757954714,combustible,0.661072118717944,0.684235546029769
3,93,0.686083877162759,0.00571630125781414,combustible,0.674879926697443,0.697287827628074
4,93,0.696451357284992,0.0056106455165845,combustible,0.685454492072486,0.707448222497498
5,93,0.700881815858335,0.00553050682096007,combustible,0.690042022489254,0.711721609227417
6,93,0.703329879076796,0.00536294824226716,combustible,0.692818500521952,0.71384125763164
7,93,0.701835466346048,0.00524451075362327,combustible,0.691556225268946,0.712114707423149
