horizon,group,estimate,se,n,dimension,ci_low,ci_high
0,pooled,0.810713376219526,0.00693848244587135,4938,pooled,0.797113950625618,0.824312801813434
1,pooled,0.830048962323099,0.00579238159122313,4938,pooled,0.818695894404302,0.841402030241897
2,pooled,0.838217189248728,0.00480929754826773,4938,pooled,0.828790966054123,0.847643412443333
3,pooled,0.881263123201047,0.00470384087429332,4938,pooled,0.872043595087432,0.890482651314662
4,pooled,0.88853861914108,0.00433121565730609,4938,pooled,0.880049436452761,0.8970278018294
5,pooled,0.890384619213617,0.00415851967210434,4938,pooled,0.882233920656292,0.898535317770941
6,pooled,0.777267287250699,0.00389746494386727,4938,pooled,0.769628255960719,0.784906318540679
7,pooled,0.770167402486585,0.00377845475076389,4938,pooled,0.762761631175088,0.777573173798082
8,pooled,0.768844592665094,0.00374611215278795,4938,pooled,0.76150221284563,0.776186972484559
9,pooled,0.599700425821958,0.00408964541135516,4938,pooled,0.591684720815701,0.607716130828214
10,pooled,0.588632770113176,0.00376997468429279,4938,pooled,0.581243619731962,0.596021920494389
11,pooled,0.586795596869486,0.00419327688503838,4938,pooled,0.578576774174811,0.595014419564161
12,pooled,0.494006205682012,0.00528079850664396,4938,pooled,0.48365584060899,0.504356570755034
0,aramco_petrobras,0.781536616781979,0.0135582920507075,896,marca,0.754962364362592,0.808110869201366
1,aramco_petrobras,0.798144902522048,0.0127686308323231,896,marca,0.773118386090694,0.823171418953401
2,aramco_petrobras,0.798690508417144,0.0123893084211232,896,marca,0.774407463911743,0.822973552922546
3,aramco_petrobras,0.846698594926519,0.0094838793191922,896,marca,0.828110191460902,0.865286998392136
4,aramco_petrobras,0.856696447838715,0.00861430878596897,896,marca,0.839812402618216,0.873580493059214
5,aramco_petrobras,0.855812037993045,0.00934018889808379,896,marca,0.8375052677528,0.874118808233289
6,aramco_petrobras,0.754349810346883,0.00696723586003719,896,marca,0.74069402806121,0.768005592632556
7,aramco_petrobras,0.743776204624282,0.0067231253340808,896,marca,0.730598878969484,0.75695353027908
8,aramco_petrobras,0.739603961968573,0.00672750502741962,896,marca,0.72641805211483,0.752789871822315
9,aramco_petrobras,0.585206687123318,0.0075082822971218,896,marca,0.570490453820959,0.599922920425677
10,aramco_petrobras,0.56867894330844,0.00526744968087413,896,marca,0.558354741933927,0.579003144682954
11,aramco_petrobras,0.558883579311696,0.00608276250391567,896,marca,0.546961364804021,0.57080579381937
12,aramco_petrobras,0.45217269692322,0.0210344980214908,896,marca,0.410945080801098,0.493400313045341
0,copec,0.826560489426105,0.00716611678879963,2064,marca,0.812514900520058,0.840606078332152
1,copec,0.831608013602854,0.00485096637028664,2064,marca,0.822100119517092,0.841115907688616
2,copec,0.834307521602702,0.00440142673941582,2064,marca,0.825680725193447,0.842934318011957
3,copec,0.875570608087683,0.00471787251914916,2064,marca,0.866323577950151,0.884817638225216
4,copec,0.880203478795625,0.00415984127658364,2064,marca,0.872050189893521,0.888356767697729
5,copec,0.881944361944705,0.00400605679996161,2064,marca,0.874092490616781,0.88979623327263
6,copec,0.763439180933028,0.0044057273582045,2064,marca,0.754803955310947,0.772074406555108
7,copec,0.756488463832779,0.00418781230568214,2064,marca,0.748280351713643,0.764696575951916
8,copec,0.756163745367422,0.00413090271725375,2064,marca,0.748067176041605,0.76426031469324
9,copec,0.580597837336494,0.00465191886932367,2064,marca,0.571480076352619,0.589715598320368
10,copec,0.574211591375306,0.0043519222308981,2064,marca,0.565681823802745,0.582741358947866
11,copec,0.571223227877073,0.00402443948371816,2064,marca,0.563335326488985,0.57911112926516
12,copec,0.482247346841988,0.00412431097583443,2064,marca,0.474163697329352,0.490330996354623
0,independiente,0.797098467381467,0.032937174470302,616,marca,0.732541605419675,0.861655329343259
1,independiente,0.889677149135765,0.0304861181440277,616,marca,0.82992435757347,0.949429940698059
2,independiente,0.922310095314202,0.0245891899148005,616,marca,0.874115283081193,0.970504907547211
3,independiente,0.965464774340668,0.0250588112065086,616,marca,0.916349504375912,1.01458004430543
4,independiente,0.983157279482805,0.0241750756115326,616,marca,0.935774131284201,1.03054042768141
5,independiente,0.989740822118886,0.0228346692665447,616,marca,0.944984870356459,1.03449677388131
6,independiente,0.899736964147618,0.0211955493159515,616,marca,0.858193687488353,0.941280240806883
7,independiente,0.887533169028303,0.0211462175515,616,marca,0.846086582627363,0.928979755429243
8,independiente,0.884626380302203,0.0211616121726001,616,marca,0.843149620443907,0.926103140160499
9,independiente,0.735604704164644,0.0223902102081164,616,marca,0.691719892156736,0.779489516172552
10,independiente,0.704392659630054,0.0216064628500049,616,marca,0.662043992444045,0.746741326816064
11,independiente,0.698522004833808,0.0215360675052891,616,marca,0.656311312523441,0.740732697144174
12,independiente,0.588264841807533,0.0190973318131764,616,marca,0.550834071453707,0.625695612161358
0,shell,0.852835358255027,0.0070998853818384,1362,marca,0.838919582906623,0.86675113360343
1,shell,0.83936312146196,0.00665097158819587,1362,marca,0.826327217149096,0.852399025774824
2,shell,0.843627429426704,0.00559249548901721,1362,marca,0.83266613826823,0.854588720585177
3,shell,0.887336610862939,0.0058126454777211,1362,marca,0.875943825726605,0.898729395999272
4,shell,0.887486862899972,0.0058134188195027,1362,marca,0.876092562013747,0.898881163786198
5,shell,0.88804182904056,0.005821725513383,1362,marca,0.876631247034329,0.899452411046791
6,shell,0.761894222154213,0.00568215732370125,1362,marca,0.750757193799758,0.773031250508667
7,shell,0.759960089109686,0.00567100776916643,1362,marca,0.74884491388212,0.771075264337252
8,shell,0.759010123841381,0.0056244491260883,1362,marca,0.747986203554248,0.770034044128514
9,shell,0.578183111437275,0.00551336370374032,1362,marca,0.567376918577944,0.588989304296606
10,shell,0.575763170057245,0.00540215418805922,1362,marca,0.565174947848649,0.586351392265841
11,shell,0.583303891561604,0.00894542484310565,1362,marca,0.565770858869117,0.600836924254091
12,shell,0.494553373755797,0.00781687648299008,1362,marca,0.479232295849136,0.509874451662457
0,baja,0.78924931904887,0.0119123386687504,1863,competidores_2km,0.765901135258119,0.812597502839621
1,baja,0.818038085957355,0.00948761614741443,1863,competidores_2km,0.799442358308422,0.836633813606287
2,baja,0.822666808785685,0.00913412615002977,1863,competidores_2km,0.804763921531627,0.840569696039744
3,baja,0.864888704661321,0.00916695466518975,1863,competidores_2km,0.846921473517549,0.882855935805093
4,baja,0.875816581450735,0.00816338695046596,1863,competidores_2km,0.859816343027822,0.891816819873649
5,baja,0.878073670126439,0.00770329439808876,1863,competidores_2km,0.862975213106185,0.893172127146693
6,baja,0.770680201352214,0.00722542382280752,1863,competidores_2km,0.756518370659512,0.784842032044917
7,baja,0.760322681619278,0.00693454140494151,1863,competidores_2km,0.746730980465593,0.773914382772964
8,baja,0.759261078539509,0.00691015197886982,1863,competidores_2km,0.745717180660924,0.772804976418093
9,baja,0.5973043070026,0.00739456583038748,1863,competidores_2km,0.58281095797504,0.611797656030159
10,baja,0.58278218245318,0.00705689484743579,1863,competidores_2km,0.568950668552206,0.596613696354155
11,baja,0.578598497504829,0.00678892244677231,1863,competidores_2km,0.565292209509156,0.591904785500503
12,baja,0.487925010526231,0.00655151465706286,1863,competidores_2km,0.475084041798388,0.500765979254074
0,media,0.813442288947971,0.0125549204044337,1724,competidores_2km,0.788834644955281,0.838049932940661
1,media,0.831354604214207,0.0103772479703085,1724,competidores_2km,0.811015198192403,0.851694010236012
2,media,0.84262067338449,0.0062380059835743,1724,competidores_2km,0.830394181656684,0.854847165112295
3,media,0.884682800633508,0.006342433928347,1724,competidores_2km,0.872251630133948,0.897113971133068
4,media,0.886449030719311,0.00632559229727063,1724,competidores_2km,0.87405086981666,0.898847191621961
5,media,0.890214540156322,0.00567912902920262,1724,competidores_2km,0.879083447259085,0.901345633053559
6,media,0.773358629810692,0.00573581705613801,1724,competidores_2km,0.762116428380662,0.784600831240723
7,media,0.769005047067654,0.00555329205780204,1724,competidores_2km,0.758120594634362,0.779889499500946
8,media,0.766861257109521,0.00554529676537013,1724,competidores_2km,0.755992475449395,0.777730038769646
9,media,0.593616355638735,0.00610733344376634,1724,competidores_2km,0.581645982088953,0.605586729188517
10,media,0.584188607895121,0.00522892793315724,1724,competidores_2km,0.573939909146132,0.594437306644109
11,media,0.579650645812015,0.00543685175425275,1724,competidores_2km,0.568994416373679,0.59030687525035
12,media,0.48237921254772,0.0113392767013095,1724,competidores_2km,0.460154230213153,0.504604194882286
0,alta,0.840268155366245,0.0105569464819357,1351,competidores_2km,0.819576540261651,0.860959770470839
1,alta,0.846556562658612,0.00996931457672481,1351,competidores_2km,0.827016706088231,0.866096419228992
2,alta,0.855824194375979,0.0090570677557975,1351,competidores_2km,0.838072341574616,0.873576047177342
3,alta,0.90119287895388,0.00810500404248838,1351,competidores_2km,0.885307071030603,0.917078686877157
4,alta,0.910132797385291,0.00748856361956725,1351,competidores_2km,0.895455212690939,0.924810382079643
5,alta,0.908929370970741,0.00795837218719286,1351,competidores_2km,0.893330961483843,0.924527780457639
6,alta,0.792554404508604,0.00690067217103956,1351,competidores_2km,0.779029087053367,0.806079721963842
7,alta,0.786536900717796,0.0068855427018162,1351,competidores_2km,0.773041237022236,0.800032564413356
8,alta,0.785800552098981,0.00672032495775567,1351,competidores_2km,0.77262871518178,0.798972389016182
9,alta,0.611474033203329,0.0074310864875326,1351,competidores_2km,0.596909103687766,0.626038962718893
10,alta,0.603187825415663,0.00698659449350678,1351,competidores_2km,0.58949410020839,0.616881550622936
11,alta,0.608204809613687,0.00987617377285605,1351,competidores_2km,0.588847509018889,0.627562110208485
12,alta,0.517367100301678,0.00905688987503121,1351,competidores_2km,0.499615596146617,0.53511860445674
