horizon,group,estimate,se,dimension,ci_low,ci_high
0,pooled,0.565090450610514,0.00661738165114836,pooled,0.552120382574263,0.578060518646765
1,pooled,0.667319918858908,0.00759911330804522,pooled,0.652425656775139,0.682214180942677
2,pooled,0.731636234764356,0.00806757010068604,pooled,0.715823797367012,0.747448672161701
3,pooled,0.821955036445001,0.00925662569311927,pooled,0.803812050086487,0.840098022803515
4,pooled,0.881510022164284,0.00978922522966638,pooled,0.862323140714138,0.90069690361443
5,pooled,0.920219130398971,0.0101098875639544,pooled,0.90040375077362,0.940034510024321
6,pooled,0.959029994609862,0.010395109842422,pooled,0.938655579318714,0.979404409901009
7,pooled,0.989006479101416,0.0107325091032097,pooled,0.967970761259125,1.01004219694371
8,pooled,1.01663823012357,0.0110439665739446,pooled,0.994992055638641,1.0382844046085
9,pooled,1.00091472517149,0.0106101022694261,pooled,0.980118924723419,1.02171052561957
10,pooled,1.00172362494052,0.0106592613366313,pooled,0.98083147272072,1.02261577716031
11,pooled,1.00588503558599,0.0109219460970531,pooled,0.984478021235766,1.02729204993621
12,pooled,0.921766639839475,0.00943705564009225,pooled,0.903270010784894,0.940263268894055
0,93,0.592758306400536,0.006636943458639,combustible,0.579749897221604,0.605766715579469
1,93,0.714718525132208,0.00788972112755173,combustible,0.699254671722206,0.730182378542209
2,93,0.793420894818006,0.00848991295647885,combustible,0.776780665423308,0.810061124212705
3,93,0.890911112659702,0.0097268418223502,combustible,0.871846502687895,0.909975722631508
4,93,0.957230239173342,0.0103410903206015,combustible,0.936961702144963,0.977498776201721
5,93,1.0000812279239,0.0106165380770836,combustible,0.979272813292818,1.02088964255499
6,93,1.07473064763674,0.0113334048163721,combustible,1.05251717419665,1.09694412107683
7,93,1.12587480799377,0.0118533699431846,combustible,1.10264220290513,1.14910741308241
8,93,1.16531476424979,0.0122547112186844,combustible,1.14129553026117,1.18933399823841
9,93,1.16867771935942,0.0120814950934915,combustible,1.14499798897618,1.19235744974266
10,93,1.18467539482657,0.012197322562838,combustible,1.16076864260341,1.20858214704974
11,93,1.20093627158113,0.0124563691754969,combustible,1.17652178799716,1.2253507551651
12,93,1.10293122659247,0.0107058182046216,combustible,1.08194782291141,1.12391463027353
0,97,0.585224929323788,0.00702500822598393,combustible,0.571455913200859,0.598993945446716
1,97,0.693801210469672,0.00816554428651545,combustible,0.677796743668102,0.709805677271243
2,97,0.761565452552696,0.00865191154873315,combustible,0.744607705917179,0.778523199188213
3,97,0.849434665151727,0.00990358382001997,combustible,0.830023640864488,0.868845689438967
4,97,0.90895942513003,0.0104632415105545,combustible,0.888451471769344,0.929467378490717
5,97,0.949372739968321,0.0107579407706043,combustible,0.928287176057936,0.970458303878705
6,97,1.02844047626166,0.0115906681568635,combustible,1.0057227666742,1.05115818584911
7,97,1.07804795152851,0.0120753193591364,combustible,1.0543803255846,1.10171557747241
8,97,1.11925603541777,0.0124574461459868,combustible,1.09483944097163,1.1436726298639
9,97,1.1300406259903,0.012344892436427,combustible,1.1058446368149,1.15423661516569
10,97,1.1475583359087,0.0124614870798998,combustible,1.1231338212321,1.1719828505853
11,97,1.1680026160829,0.0128077666144337,combustible,1.14289939351861,1.19310583864719
12,97,1.07971306386699,0.0110985648346731,combustible,1.05795987679103,1.10146625094295
0,di,0.548991873986318,0.00680702164201728,combustible,0.535650111567964,0.562333636404672
1,di,0.642408981277032,0.00771637032568663,combustible,0.627284895438686,0.657533067115377
2,di,0.700145183839026,0.00814654321663259,combustible,0.684177959134426,0.716112408543626
3,di,0.78553539217114,0.00927997335277677,combustible,0.767346644399697,0.803724139942582
4,di,0.842332600216652,0.00981203200419171,combustible,0.823101017488436,0.861564182944867
5,di,0.876970167470272,0.0101468741600386,combustible,0.857082294116597,0.896858040823948
6,di,0.893385893615808,0.0100466205192391,combustible,0.873694517398099,0.913077269833516
7,di,0.908830136746439,0.0102955840932898,combustible,0.888650791923591,0.929009481569287
8,di,0.92768484115432,0.0105646845156868,combustible,0.906978059503573,0.948391622805066
9,di,0.900320476029403,0.0100338196147032,combustible,0.880654189584585,0.919986762474221
10,di,0.893266043200817,0.0100581751501096,combustible,0.873552019906602,0.912980066495032
11,di,0.888720179589075,0.0102528764411679,combustible,0.868624541764386,0.908815817413764
12,di,0.815479198350129,0.00899426977152936,combustible,0.797850429597932,0.833107967102327
0,aramco_petrobras,0.557918280444166,0.0123741388326939,marca,0.533664968332086,0.582171592556246
