event_week,nivel_amenidades,median_margin,ci_low,ci_high,n_stations
-13,simple,130.75,113.75,154.25,469
-12,simple,124.6,99.8125,155.1875,806
-10,simple,129.7,104.6125,159.9875,602
-9,simple,122.85,97.825,153.2375,834
-7,simple,155.9,127.9875,167.9,332
-6,simple,122.5,98.725,146.8,883
-5,simple,112.975,87.1,135.0625,194
-3,simple,120.775,96.8,145.7,904
-2,simple,127.3,106.8,159.025,615
-1,simple,128.8,108.925,157.8625,658
0,simple,123.5,100,151,904
1,simple,145.45,124.2,173.45,651
4,simple,170.3,118.55,183.3,283
6,simple,120.4,98.4000000000001,155.4,883
9,simple,121.4,97.9000000000001,153.4,877
10,simple,169.45,99.4000000000001,190.5,233
3,simple,128.55,104.5,157.5,908
12,simple,129.5,103.9,158.35,911
-8,simple,130.925,111.45,158.9375,546
-4,simple,124,105.4,149.125,459
7,simple,120.4,97.4000000000001,161.4,85
8,simple,99.3000000000001,59.6500000000001,155.725,118
13,simple,165.725,100.7125,186.5,354
-14,simple,131.75,113.25,167.75,261
-11,simple,119.2,94.0999999999999,141.625,110
-13,con_tienda,131.75,116.75,153.75,276
-12,con_tienda,128.7,106.875,150.65,479
-10,con_tienda,131.65,107.8125,161.6375,382
-9,con_tienda,127.95,106.175,156.375,499
-7,con_tienda,152.05,129.575,166.95,214
-6,con_tienda,128.1,105.1,149.5,525
-4,con_tienda,131,112.575,158.1,295
-3,con_tienda,124.8,103.8,145.775,538
-2,con_tienda,133.8,112.55,161.8,371
-1,con_tienda,131.3,112.3,159.175,378
0,con_tienda,128.5,104.5,151.95,541
1,con_tienda,148.45,127.475,175.45,375
3,con_tienda,131.8,107.5,156.7,532
9,con_tienda,127.9,103.4,154.4,483
12,con_tienda,132.5,110.05,159.15,515
4,con_tienda,172.9,152.35,186.725,162
6,con_tienda,128.4,104.4,156.15,510
11,con_tienda,61.0999999999999,30.5,106.4,73
11,simple,79.75,39.5000000000001,110.8375,130
-11,con_tienda,135.6,117.15,160.6,77
8,con_tienda,95.4000000000001,47.9000000000001,121.4,99
-5,con_tienda,118.65,102.65,147.1,109
2,simple,146.5,118.5,186,243
5,simple,109.95,81.8499999999999,143.7,144
14,simple,172.65,152.8375,190.975,168
-8,con_tienda,137.95,115.6875,160.9125,348
2,con_tienda,151.45,126.95,186,135
10,con_tienda,176.9,102.375,194.2,156
13,con_tienda,166.65,106,189.5,231
14,con_tienda,175.5,154.9,192.5,129
7,con_tienda,120.4,101.2,155.8,49
5,con_tienda,114.7,80.0999999999999,134.3,65
-12,completa,138.925,120.45,162.875,100
-10,completa,140.125,126.7625,163.775,92
-9,completa,137.9,119.3,161.5,105
-8,completa,145.45,127.95,166.1875,82
-7,completa,154.4,139,171,58
-6,completa,136.5,118.45,159.1,107
-3,completa,135.2,116.7875,158.4375,108
-2,completa,136.9,123.3,161.7,93
-1,completa,143.3,119.55,169.05,92
0,completa,139.5,119.475,164,107
1,completa,156.95,139.4,179.45,93
3,completa,147.3,124.95,171.7,107
4,completa,172.3,163.9,188.65,51
6,completa,140.4,116.525,169.4,106
9,completa,140.15,114.9,160.4,100
12,completa,149.5,127.5,175.9875,106
13,completa,173.5,166.8,195.8,53
14,completa,176,170.5,193.5,33
-14,completa,142.25,128,169.725,43
-4,completa,134.15,122.65,172.1,69
2,completa,174.95,145.25,197.875,30
8,completa,145.4,92.4000000000001,174.2,13
-11,completa,131.65,103.825,141.775,18
5,completa,127.3,96.5999999999999,150.95,11
-13,completa,138.25,121.75,165.975,67
-5,completa,130.65,117.975,141.9,27
-14,con_tienda,129.75,112.025,162.25,138
10,completa,192.5,180.5,202.5,25
11,completa,126.5,43.8,199.1,9
7,completa,159.4,151.4,183.2,13
