event_week,brand_group_pre,median_margin,ci_low,ci_high,n_stations
-13,aramco_petrobras,142.525,120.675,169.25,156
-12,aramco_petrobras,138.7,104.7,163.7,243
-10,aramco_petrobras,132.9,101.6,162.65,224
-9,aramco_petrobras,136,103.9,161.4,252
-7,aramco_petrobras,159.9,145.55,170.8,118
-6,aramco_petrobras,135.8,104,159.025,255
-3,aramco_petrobras,132.25,100.8,158.5,254
-2,aramco_petrobras,137.3,114.8,163.8,178
-1,aramco_petrobras,134.1,111.8,160.925,200
0,aramco_petrobras,135.5,102.5,163.45,275
1,aramco_petrobras,155.95,131.95,179.95,195
4,aramco_petrobras,172.3,130.2,184.1,125
-5,aramco_petrobras,138.95,112.55,156.725,82
6,aramco_petrobras,140.35,107.25,165.4,256
9,aramco_petrobras,135.9,103.775,161.4,264
10,aramco_petrobras,162.4,113.9,194.5,109
3,aramco_petrobras,140.1,107.65,170.95,267
12,aramco_petrobras,140.95,108.85,174.5,272
-8,aramco_petrobras,142.45,117.45,164.95,161
13,aramco_petrobras,173.7,156.8,192.8,117
14,aramco_petrobras,174.8,162.775,192.5,87
-4,aramco_petrobras,127.625,103.025,162.775,122
7,aramco_petrobras,155.8,120.4,174.4,45
8,aramco_petrobras,124.3,100.1,158.15,30
-14,aramco_petrobras,137.8,100.75,171.8,53
-11,aramco_petrobras,123.65,105.15,160.4249975,43
-12,copec,130.7,107.7,160.1,521
-9,copec,129.85,104.8,159.8,546
-6,copec,126.1,104.1,152.95,631
-3,copec,124.8,103.8,153.7,649
-2,copec,130.7,112.3,160.9,493
0,copec,128.475,104.5,159.5,638
3,copec,131.3,108.1,165.075,642
4,copec,176.2,163.25,187.1,202
12,copec,134.8,108.9,167.9,605
-10,copec,129.625,100.825,159.6375,514
6,copec,123.4,101.4,158.475,607
-1,copec,129.7,111.3,161.3,488
9,copec,124.4,100.4,156.4,545
11,copec,57.275,28.0999999999999,96.6999999999999,126
-4,copec,127.65,112.15,158.8,389
10,copec,183.25,102.4,195.1,173
13,copec,182.15,166.8125,195.25,206
-11,copec,123.65,98.7,161.6,85
8,copec,83.4000000000001,47.4000000000001,123.8,153
-5,copec,114.575,85.375,139.9375,90
-8,copec,135.95,117.7,161.45,418
-7,copec,156.35,141.85,170.8,229
1,copec,148.95,130.95,177.7375,464
2,copec,162.4,132.5,197.5,117
14,copec,175.5,157.5,191.5,199
5,copec,97.8499999999999,64.2249999999999,131.4,104
-14,copec,130.75,104.8,172.7,77
7,copec,113.4,99.3000000000001,149.05,57
-13,copec,127.475,113.125,140.75,336
5,aramco_petrobras,164.8,103.1,183.6,30
11,aramco_petrobras,143.45,109.725,163.65,32
-12,shell,124.7,102.45,152.65,439
-10,shell,136.4,119.65,161.8125,284
-9,shell,124.8,100.9,147.9,445
-7,shell,152.35,125.7875,163,216
-6,shell,123.95,100.4,145.975,444
-3,shell,123,99.2375,145.025,444
-2,shell,129.8,113.175,159.8,304
-1,shell,128.8,112.3,154.8,311
0,shell,125.5,101,151.95,447
1,shell,145.95,127.425,173.95,335
3,shell,132.45,107.675,160.8,444
6,shell,122.4,100.4,155.4,445
8,shell,138.05,99.3000000000001,164.7,33
12,shell,131.5,108,159.225,439
13,shell,132.8,86.15,173.5,283
10,shell,178.5,98.325,192.625,103
2,aramco_petrobras,167.25,130.5,189.4,66
-14,shell,136.25,118,166.775,283
-13,shell,136.25,120.75,167.75,287
-8,shell,132.925,116.075,157.825,326
2,shell,155.45,125.2,186,167
4,shell,171.6,163.1,183.3,134
14,shell,171.5,142.7,178.8,37
-4,shell,129.975,112.2375,151.775,254
9,shell,122.4,100.15,153.4,444
-12,independiente,115.65,96.0375,139.8125,196
-10,independiente,132.7,100.6,148.6,65
-9,independiente,113,96.0125000000001,137.9,206
-8,independiente,107.95,96.6250000000001,138.675,83
-7,independiente,122,97.9000000000001,149.8,51
-6,independiente,117.8,96.05,139.15,199
-3,independiente,112.225,95.1375,138.4,216
-2,independiente,118.25,97.7,140.0125,116
-1,independiente,130.3,95.7000000000001,178.85,143
0,independiente,117.75,98.5,142.5,204
1,independiente,130,111.725,153.725,139
2,independiente,127.5,102.25,147,59
3,independiente,118.7,101.2,145.2,205
4,independiente,113.2,98.6999999999999,149.1,41
10,independiente,107.5,97.4000000000001,130.5,33
12,independiente,119.2,103.7,144.125,218
13,independiente,112.2,99.2000000000001,151.325,38
14,independiente,147.6,103.475,156.325,14
6,independiente,113.4,97.4000000000001,140.4375,200
9,independiente,115.4,97.4000000000001,144.4,213
7,shell,127.2,78.6250000000001,157.5625,24
-5,shell,117.15,97.9,132.15,130
-14,independiente,102.7,89.9625,119.8,30
7,independiente,100.25,96.5750000000001,123.225,20
5,independiente,112.1,98.0499999999999,133.225,52
-4,independiente,102.5,92.75,137.45,66
-13,independiente,107.7,101.7,127.75,44
-11,independiente,118.7,92.65,120.4375,32
-5,independiente,91.9,79.45,111.3,32
11,independiente,88.9500000000001,58.45,113.575,42
8,independiente,96.4000000000001,55.9000000000001,113.75,11
-11,shell,136.425,127.025,143.3125,46
5,shell,126.2,98.6499999999999,143.075,34
11,shell,69.4000000000001,26.3999999999999,86.9000000000001,12
