event_week,comp_tercile_pre,median_margin,ci_low,ci_high,n_stations
-13,media,130.75,114.75,162.25,257
-12,media,120.7,100.7,151.175,399
-10,media,129.65,103.0375,162.15,316
-9,media,119.9,99.8,157.4,419
-7,media,152.9,125.9,170.8,173
-6,media,119.1,99.2,144.3,439
-3,media,118.8,97.7,142.9,453
-2,media,129.55,109.3,162.9,314
-1,media,128.3,109.3,161.8,327
0,media,120,100,151.3375,454
1,media,142.45,122.45,175.5,327
4,media,175.75,127.05,188,150
-5,media,114.15,94.6,138.975,111
6,media,120.4,98.4000000000001,155.5,440
9,media,120.4,98.4000000000001,152.9,425
10,media,180.5,97.9000000000001,194.45,131
3,media,124.3,103.2,155.2,453
12,media,124.5,102.125,156.5375,444
-13,baja,132.75,122.75,148.25,325
-12,baja,138.7,121.6,159.7,527
-10,baja,135.6,119.65,160.15,433
-9,baja,137.225,119.9,158.4125,532
-8,baja,138.45,123.95,160.9,395
-7,baja,155.9,139.9,172.8,237
-6,baja,135.1,119.5,155.5,577
-3,baja,133.7,116.775,152.8,583
-1,baja,133.3,116.775,161.3,476
0,baja,137.2,119.5,160.375,586
1,baja,149.95,136.4875,176.0625,476
3,baja,140.1,126.15,168.25,583
4,baja,177.3,165.6,195.3,177
6,baja,135.4,116.125,162.5,564
12,baja,142.65,127.5,168.7,581
13,baja,172.65,137.275,194.725,226
14,baja,176,158.85,195,130
9,baja,135.65,116.4,159.0625,552
-8,media,131.95,111.3375,162.075,296
-4,media,127.4,109.15,158.1,256
7,media,121.8,98.9250000000001,154.1,50
8,media,99.3000000000001,56.9000000000001,127,68
13,media,170.5,102.65,190.5,189
-14,media,122.7,109.25,163.25,153
-11,media,118.7,99.65,141.925,79
-4,baja,129.65,119.15,158.8,319
-2,baja,133.3,118.675,159.8,456
-13,alta,131.75,103.75,163.25,241
-12,alta,114.65,92.65,144.7,473
-10,alta,126.875,93.65,160.675,338
-9,alta,113.425,92.8,144.875,498
-6,alta,109.15,92.8,140.5,513
-3,alta,106.7,91.7000000000001,139.25,527
-2,alta,127.3,97.7,159.75,321
-1,alta,126.8,96.7500000000001,154.8,339
0,alta,111.5,92,146.5,524
1,alta,145.95,115.5,172.5,330
3,alta,115.25,95.0999999999999,155.175,522
12,alta,116.5,91.9000000000001,156.15,509
13,alta,153.8,91.9000000000001,174.5,229
-5,alta,104.15,84.8,135.3,123
6,alta,110.05,95.4000000000001,154.4,504
8,alta,95.9000000000001,47.4000000000001,119.875,72
9,alta,109.9,92.4000000000001,149.4,489
4,alta,166.2,112.9,172.5,175
11,alta,74.75,29.0999999999999,100.45,82
-4,alta,117.15,95.15,153.1,256
10,alta,138.4,92.4000000000001,184.5,155
-11,alta,117.925,82.125,140.2,60
-8,alta,131.95,102.95,159.45,297
-7,alta,153.9,112.4,161.05,204
2,alta,146.2,105.625,175.4,142
14,alta,170.825,145.7625,183,114
5,alta,98.3,49.5999999999999,117.1,81
-14,alta,131.25,105.75,166.25,141
2,media,151.45,119.1,192.3125,122
14,media,181.5,154.9,195.15,93
7,alta,106,94.6500000000001,160.7,50
11,baja,83.9250000000001,39.575,128.5,78
5,baja,127.3,109.2,162.8,75
-14,baja,138.8,122.75,171.25,149
8,baja,101.45,57.9000000000001,174.45,87
10,baja,188.5,142.15,205.15,132
2,baja,159.5,132.95,200.4,145
-11,baja,135.15,121.425,154.175,67
-5,baja,126.875,116.4,142.375,100
5,media,112.5,83.7499999999999,147.425,64
11,media,84.6750000000001,32.25,107.4875,52
7,baja,136.675,111.65,178.65,46
