event_week,fuel,median_margin,ci_low,ci_high,n_stations
-13,93,126.7,107.7,149.7,786
-12,93,124.1,98.5999999999999,156.6,1375
-10,93,127.6,102.6,159.6,1055
-9,93,122.9,95.9000000000001,154.9,1425
-7,93,158.9,142.9,167.9,423
-6,93,120.5,95.5,146.5,1501
-3,93,118.7,94.7,145.7,1534
-2,93,120.95,100.7,151.825,960
-1,93,128.7,102.7,156.7,1111
0,93,123.5,98,156.5,1537
1,93,146.5,120.75,174.5,1079
4,93,173.3,166.3,184.3,441
-13,97,137.8,122.8,158.8,747
-12,97,137.7,119.7,163.7,1225
-9,97,138,119.5,162,1262
-7,97,160.5,142,171,433
-6,97,135.8,116.8,158.8,1358
-5,97,127.3,109.8,139.8,237
-3,97,135.4,116.9,157.9,1380
-2,97,133.9,116.9,155.9,866
-1,97,133.9,118.9,159.9,998
0,97,141.4,122.4,163.525,1392
1,97,155.4,140.4,177.775,1006
4,97,179.1,168.6,193.1,401
6,97,176.2,155.2,193.2,219
-12,di,125.7,103.7,157.2,1383
-9,di,125.8,101.8,157.8,1393
-6,di,123.1,101.1,153.1,1517
-3,di,122.8,100.8,152.8,1558
-1,di,161.8,110.8,674.8,249
0,di,123.5,101.5,155.5,1553
4,di,161.1,143.1,176.1,469
6,di,122.9,100.4,155.4,1505
9,di,123.4,99.9000000000001,154.4,1465
10,di,167.4,105.775,185.15,374
3,93,130.3,106.3,161.55,1532
12,93,130.5,102,162.5,1500
3,97,152.1,128.1,170.225,1388
12,97,154.3,127.8,171.8,1342
3,di,122.85,101.1,155.1,1556
12,di,123.9,99.9000000000001,156.9,1523
-8,93,134.9,110.15,158.9,922
6,93,171.2,133.7,184.2,513
13,93,170.5,105.5,186.5,614
14,93,175.5,157.5,191.5,319
-10,97,138.7,120.7,163.7,904
-8,97,139,125,162,886
13,97,174.05,132.8,195.8,570
14,97,181.8,162.55,199.8,304
-7,di,156.8,136.3,170.8,543
13,di,163.9,143.4,182.9,487
14,di,163.9,154.9,183.9,325
-4,93,113.5,98.5,126.5,603
7,93,123.7,101.2,168.2,88
8,93,139.7,107.2,186.2,78
-13,di,140.8,109.8,225.8,105
1,di,160.5,122.5,179.5,417
7,di,113.4,95.6500000000001,153.65,110
-4,97,130.8,114.8,137.8,557
-14,di,123.3,110.55,169.05,144
-11,di,122.2,99.2000000000001,151.2,138
8,di,93.9000000000001,48.9000000000001,123.4,194
-2,di,159.8,138.8,173.8,594
11,93,69,31.5,108.5,169
11,97,56.0999999999999,31.5999999999999,109.1,129
10,93,184.5,126.5,198.5,311
10,97,194.1,172.1,203.1,277
11,di,65.4000000000001,4.40000000000009,100.9,181
-11,97,139.2,121.825,161.95,128
-4,di,170.1,139.6,179.35,303
-5,di,119.1,91.1,154.35,127
-11,93,122.6,96.0999999999999,157.6,142
2,93,170.5,130.5,187.875,294
5,97,134.1,103.1,158.1,93
2,di,154,110.5,179.5,328
2,97,173.4,145.4,195.9,289
-10,di,154.7,100.2,174.7,503
-8,di,138.8,105.175,168.05,252
5,di,106.85,84.8499999999999,135.1,188
-14,97,140.3,124.8,168.3,360
5,93,118.3,80.8,162.3,143
9,93,130.5,105.5,168.5,145
9,97,161.1,135.85,191.6,120
8,97,154.7,112.7,201.7,69
7,97,133.45,118.4,156.7,56
-14,93,128.2,105.2,164.2,379
-5,93,111,92.75,133,199
