radio,fuel,serie,att,att_se,att_p,n_mercados
1 km,p93,max,0.148069492894776,1.65250710299788,0.928742801512818,809
1 km,p93,media,-3.27690977153356,1.36617848077025,0.0179005795088887,809
1 km,p93,min,-5.53435465243318,1.54046018990508,0.000465360461131798,809
1 km,pdi,max,-0.207424800089626,1.54552039012745,0.893447055235903,809
1 km,pdi,media,-3.24840068322104,1.33385241154696,0.0162546102693951,809
1 km,pdi,min,-5.38163431184317,1.45885682840548,0.00033168608071266,809
2 km,p93,max,-0.461298609555923,0.971641749401106,0.635629171624923,1011
2 km,p93,media,-2.77141803433926,0.943978927311968,0.0038361106672743,1011
2 km,p93,min,-4.42494311315372,1.08044327520862,6.78535663114739e-05,1011
2 km,pdi,max,-1.4623967998749,0.841731357486556,0.0843215623097093,1011
2 km,pdi,media,-3.0542774159529,0.845881730581051,0.000412495558851061,1011
2 km,pdi,min,-3.89749252358038,1.00732414097028,0.000160850813667237,1011
