radio,fuel,serie,bin,estimate,se,ci_low,ci_high
1 km,p93,max,-4,0.0543839766137434,1.26914818699743,-2.43314646990123,2.54191442312871
1 km,p93,max,-3,-0.0542706268901192,1.00926247353963,-2.03242507502779,1.92388382124755
1 km,p93,max,-2,0.101894946185755,0.85119168772062,-1.56644076174666,1.77023065411817
1 km,p93,max,-1,0,0,0,0
1 km,p93,max,0,-1.63518788672774,0.922408920406048,-3.44310937072359,0.172733597268112
1 km,p93,max,1,-0.612558224145245,1.70830056168583,-3.96082732504947,2.73571087675898
1 km,p93,max,2,-0.548169838402113,1.20886930670377,-2.91755367954151,1.82121400273728
1 km,p93,max,3,0.18613173972548,1.44505995053794,-2.64618576332888,3.01844924277984
1 km,p93,max,4,0.759297189679594,1.92387121862039,-3.01149039881638,4.53008477817556
1 km,p93,media,-4,0.617629129643094,1.15426917924194,-1.64473846167112,2.87999672095731
1 km,p93,media,-3,0.191522598382168,0.616904830947294,-1.01761087027453,1.40065606703886
1 km,p93,media,-2,0.800149441251538,0.583339561198075,-0.343196098696689,1.94349498119976
1 km,p93,media,-1,0,0,0,0
1 km,p93,media,0,-2.73965641885045,0.762367310835134,-4.23389634808731,-1.24541648961358
1 km,p93,media,1,-3.05798731971409,1.06643515835919,-5.14820023009811,-0.967774409330072
1 km,p93,media,2,-2.59891985244821,0.981119611061215,-4.52191429012819,-0.675925414768228
1 km,p93,media,3,-3.02785545707795,1.30842978539769,-5.59237783645742,-0.463333077698468
1 km,p93,media,4,-2.71020649759716,1.65656635439833,-5.95707655221789,0.536663557023571
1 km,p93,min,-4,0.46644358336454,1.18910343892474,-1.86419915692796,2.79708632365704
1 km,p93,min,-3,0.143102324260362,0.885918517308606,-1.59329796966451,1.87950261818523
1 km,p93,min,-2,0.749962978820246,0.670618224718861,-0.564448741628722,2.06437469926921
1 km,p93,min,-1,0,0,0,0
1 km,p93,min,0,-4.0243510581466,0.916068315568024,-5.81984495665993,-2.22885715963327
1 km,p93,min,1,-4.95777267797067,1.22120882775598,-7.3513419803724,-2.56420337556895
1 km,p93,min,2,-4.5324801958224,1.21545498246669,-6.9147719614571,-2.15018843018769
1 km,p93,min,3,-5.80750899397045,1.77776281676533,-9.2919241148305,-2.3230938731104
1 km,p93,min,4,-5.35883841509925,1.94946176118541,-9.17978346702265,-1.53789336317585
1 km,pdi,max,-4,-0.81764189697633,1.04830478334497,-2.87231927233246,1.2370354783798
1 km,pdi,max,-3,-0.423729598530224,0.762241809289704,-1.91772354473804,1.0702643476776
1 km,pdi,max,-2,-0.470203939116183,0.632585656298185,-1.71007182546062,0.769663947228259
1 km,pdi,max,-1,0,0,0,0
1 km,pdi,max,0,-0.949698020175193,0.942762318803332,-2.79751216502972,0.898116124679339
1 km,pdi,max,1,0.655602354056734,1.80113490336003,-2.87462205652892,4.18582676464239
1 km,pdi,max,2,-1.72381520686173,1.08443455797618,-3.84930694049505,0.401676526771588
1 km,pdi,max,3,-0.457633517839289,1.19402585486479,-2.79792419337428,1.8826571576957
1 km,pdi,max,4,-0.974722025712049,1.79541144274675,-4.49372845349567,2.54428440207158
1 km,pdi,media,-4,-0.221943247680663,1.00235886151847,-2.18656661625687,1.74268012089554
1 km,pdi,media,-3,0.224536293257002,0.536286589042283,-0.826585421265872,1.27565800777988
1 km,pdi,media,-2,0.359153899679057,0.387863218535732,-0.401058008650979,1.11936580800909
1 km,pdi,media,-1,0,0,0,0
1 km,pdi,media,0,-2.15840260435406,0.729684934503021,-3.58858507597998,-0.728220132728135
1 km,pdi,media,1,-2.12313557764238,0.982901884723169,-4.04962327169979,-0.196647883584968
1 km,pdi,media,2,-2.62995760060852,0.933754199074697,-4.46011583079492,-0.799799370422111
1 km,pdi,media,3,-2.84980088162034,1.09851050871054,-5.002881478693,-0.696720284547683
1 km,pdi,media,4,-3.88877630130532,1.39021159792295,-6.61359103323431,-1.16396156937633
1 km,pdi,min,-4,0.291651358915339,1.04166788302201,-1.75001769180781,2.33332040963849
1 km,pdi,min,-3,0.740660579452427,0.637050069541407,-0.50795755684873,1.98927871575358
1 km,pdi,min,-2,0.714624837984769,0.570203336002806,-0.402973700580731,1.83222337655027
1 km,pdi,min,-1,0,0,0,0
1 km,pdi,min,0,-3.66638898949144,0.897281832530466,-5.42506138125115,-1.90771659773173
1 km,pdi,min,1,-3.50803207959979,1.06425670002855,-5.59397521165575,-1.42208894754383
1 km,pdi,min,2,-3.94963509233794,1.20689142279873,-6.31514228102344,-1.58412790365243
1 km,pdi,min,3,-5.09542362812608,1.95532402491102,-8.92785871695167,-1.26298853930049
1 km,pdi,min,4,-5.66042984765231,1.58483809018427,-8.76671250441348,-2.55414719089114
2 km,p93,max,-4,-0.753052966777877,1.47869350701696,-3.65129224053111,2.14518630697535
2 km,p93,max,-3,-0.895783959146249,1.47186941010025,-3.78064800294274,1.98908008465024
2 km,p93,max,-2,-1.31555700346143,1.51063659190653,-4.27640472359823,1.64529071667536
2 km,p93,max,-1,0,0,0,0
2 km,p93,max,0,-1.59711215534942,1.7128719344175,-4.95434114680772,1.76011683610887
2 km,p93,max,1,-2.13216312516515,1.71850203951904,-5.50042712262247,1.23610087229217
2 km,p93,max,2,-1.4008016043454,1.46804128584045,-4.27816252459267,1.47655931590187
