rel,estimate,se,serie,ci_low,ci_high
-4,-0.00414914808717136,0.0526784707496051,Competidores a 2 km (incluye a la entrante),-0.107398950756397,0.0991006545820546
-3,-0.0167852199945992,0.0204262823487643,Competidores a 2 km (incluye a la entrante),-0.0568207333981772,0.0232502934089788
-2,-0.0106403801291922,0.015128916446151,Competidores a 2 km (incluye a la entrante),-0.0402930563636482,0.0190122961052638
-1,0,0,Competidores a 2 km (incluye a la entrante),0,0
0,0.97224238075326,0.0151930371531435,Competidores a 2 km (incluye a la entrante),0.942464027933099,1.00202073357342
1,0.907665568465093,0.0334153430074111,Competidores a 2 km (incluye a la entrante),0.842171496170568,0.973159640759619
2,0.884265971464741,0.0511581994235124,Competidores a 2 km (incluye a la entrante),0.783995900594657,0.984536042334826
3,0.876795718392872,0.052877055974694,Competidores a 2 km (incluye a la entrante),0.773156688682472,0.980434748103272
4,0.67106423086955,0.0814850474281995,Competidores a 2 km (incluye a la entrante),0.511353537910279,0.830774923828821
-4,0.00508120491663422,0.0487213203680028,Competidores a 2 km (excluye a la entrante),-0.0904125830046513,0.10057499283792
-3,-0.016555895145296,0.0201788968421975,Competidores a 2 km (excluye a la entrante),-0.0561065329560032,0.0229947426654111
-2,-0.00981629359740208,0.0141919020187849,Competidores a 2 km (excluye a la entrante),-0.0376324215542206,0.0179998343594164
-1,0,0,Competidores a 2 km (excluye a la entrante),0,0
0,-0.0259894075210603,0.0161155415498551,Competidores a 2 km (excluye a la entrante),-0.0575758689587763,0.00559705391665579
1,-0.0325755738199622,0.0264957961031389,Competidores a 2 km (excluye a la entrante),-0.0845073341821144,0.01935618654219
2,-0.0603842408199646,0.0450496016250432,Competidores a 2 km (excluye a la entrante),-0.148681460005049,0.0279129783651201
3,-0.0567128195345907,0.0466556689445333,Competidores a 2 km (excluye a la entrante),-0.148157930665876,0.0347322915966945
4,-0.191054330620956,0.0690391284122498,Competidores a 2 km (excluye a la entrante),-0.326371022308965,-0.055737638932946
