event_week,fuel,price,cost
-13,93,1227,1100.3
-12,93,1199.5,1075.4
-10,93,1203,1075.4
-9,93,1174,1051.1
-7,93,1210,1051.1
-6,93,1185,1064.5
-3,93,1202,1083.3
-2,93,1204.25,1083.3
-1,93,1212,1083.3
0,93,1579,1455.5
1,93,1602,1455.5
4,93,1649,1475.7
-13,97,1281,1143.2
-12,97,1256,1118.3
-9,97,1232,1094
-7,97,1254.5,1094
-6,97,1248,1112.2
-5,97,1239.5,1112.2
-3,97,1268.5,1133.1
-2,97,1267,1133.1
-1,97,1267,1133.1
0,97,1666,1524.6
1,97,1680,1524.6
4,97,1726,1546.9
6,97,1722.5,1546.3
-12,di,968,842.3
-9,di,950,824.2
-6,di,935,811.9
-3,di,954,831.2
-1,di,993,831.2
0,di,1535,1411.5
4,di,1609,1447.9
6,di,1523.5,1400.6
9,di,1459,1335.6
10,di,1503,1335.6
3,93,1606,1475.7
12,93,1511,1380.5
3,97,1699,1546.9
12,97,1593.5,1439.2
3,di,1570.75,1447.9
12,di,1342,1218.1
-8,93,1186,1051.1
6,93,1647,1475.8
13,93,1551,1380.5
14,93,1556,1380.5
-10,97,1257,1118.3
-8,97,1233,1094
13,97,1613.25,1439.2
14,97,1621,1439.2
-7,di,981,824.2
13,di,1382,1218.1
14,di,1382,1218.1
-4,93,1178,1064.5
7,93,1599.5,1475.8
8,93,1615.5,1475.8
-13,di,1002,861.2
1,di,1572,1411.5
7,di,1514,1400.6
-4,97,1243,1112.2
-14,di,984.5,861.2
-11,di,964.5,842.3
8,di,1494.5,1400.6
-2,di,991,831.2
11,93,1544.5,1475.5
11,97,1602,1545.9
10,93,1660,1475.5
10,97,1740,1545.9
11,di,1401,1335.6
-11,97,1257.5,1118.3
-4,di,982,811.9
-5,di,931,811.9
-11,93,1198,1075.4
2,93,1626,1455.5
5,97,1681,1546.9
2,di,1565.5,1411.5
2,97,1698,1524.6
-10,di,997,842.3
-8,di,963,824.2
5,di,1554.75,1447.9
-14,97,1283.5,1143.2
5,93,1594,1475.7
9,93,1606,1475.5
9,97,1707,1545.9
8,97,1701,1546.3
7,97,1679.75,1546.3
-14,93,1228.5,1100.3
-5,93,1175.5,1064.5
