tau,est,se,p,n_obs,n_trat,radio,tipo,outcome,ci_low,ci_high,radio_f
0.1,-0.327560635104627,2.0875554049185,0.875424088659607,190434,380,1,precio,p93,-4.41916922874489,3.76404795853563,Entrada a [0; 1] km
0.15,-2.06114108278068,1.94629833490019,0.290478433252666,190434,380,1,precio,p93,-5.87588581918505,1.75360365362368,Entrada a [0; 1] km
0.2,-3.17233041198218,1.75737365650326,0.0720876422509739,190434,380,1,precio,p93,-6.61678277872857,0.272121954764201,Entrada a [0; 1] km
0.25,-3.96873632139696,1.80524640567454,0.0287072314150495,190434,380,1,precio,p93,-7.50701927651905,-0.430453366274866,Entrada a [0; 1] km
0.3,-4.68162623261751,1.73840434675963,0.00749201299691348,190434,380,1,precio,p93,-8.08889875226638,-1.27435371296864,Entrada a [0; 1] km
0.35,-5.2108326317691,1.53126103990004,0.000760408370419817,190434,380,1,precio,p93,-8.21210426997319,-2.20956099356502,Entrada a [0; 1] km
0.4,-4.51664462059829,1.13153995491927,8.32102590051826e-05,190434,380,1,precio,p93,-6.73446293224006,-2.29882630895652,Entrada a [0; 1] km
0.45,-3.23671195675082,1.00271090579114,0.00138976593390714,190434,380,1,precio,p93,-5.20202533210146,-1.27139858140018,Entrada a [0; 1] km
0.5,-2.58014351508104,0.787899665333931,0.00118593555718986,190434,380,1,precio,p93,-4.12442685913554,-1.03586017102653,Entrada a [0; 1] km
0.55,-2.60189027577438,0.726066668014682,0.000397480685087168,190434,380,1,precio,p93,-4.02498094508316,-1.17879960646561,Entrada a [0; 1] km
0.6,-2.16920731800466,0.71318665997627,0.00256869021091807,190434,380,1,precio,p93,-3.56705317155815,-0.771361464451168,Entrada a [0; 1] km
0.65,-1.48924477313966,0.691025116500807,0.0319750969003584,190434,380,1,precio,p93,-2.84365400148125,-0.134835544798083,Entrada a [0; 1] km
0.7,-1.25884158839366,0.68616948870907,0.0675903624662885,190434,380,1,precio,p93,-2.60373378626344,0.0860506094761135,Entrada a [0; 1] km
0.75,-1.42452829938468,0.689124019307727,0.039606376721264,190434,380,1,precio,p93,-2.77521137722782,-0.0738452215415348,Entrada a [0; 1] km
0.8,-2.17803299898353,0.790099261594321,0.00620974454623083,190434,380,1,precio,p93,-3.7266275517084,-0.629438446258659,Entrada a [0; 1] km
0.85,-1.99501544990424,0.72835751657425,0.00654302760760599,190434,380,1,precio,p93,-3.42259618238977,-0.567434717418707,Entrada a [0; 1] km
0.9,-0.884474364204129,1.01944544620536,0.386328814439432,190434,380,1,precio,p93,-2.88258743876664,1.11363871035838,Entrada a [0; 1] km
0.1,-2.53269679205805,1.57031407367033,0.107851433679484,192757,385,1,precio,pdi,-5.61051237645189,0.545118792335791,Entrada a [0; 1] km
0.15,-2.69472351351799,1.49830635525516,0.0731248908410056,192757,385,1,precio,pdi,-5.6314039698181,0.241956942782123,Entrada a [0; 1] km
0.2,-4.39512450736285,1.53389801713657,0.00446720358399967,192757,385,1,precio,pdi,-7.40156462095052,-1.38868439377518,Entrada a [0; 1] km
0.25,-5.33980112910421,1.65087171312535,0.00135777885912607,192757,385,1,precio,pdi,-8.5755096868299,-2.10409257137852,Entrada a [0; 1] km
0.3,-5.37136773613787,1.41281925352975,0.000174722193721052,192757,385,1,precio,pdi,-8.14049347305618,-2.60224199921957,Entrada a [0; 1] km
0.35,-4.24940151298296,1.37959505338293,0.00226509587085615,192757,385,1,precio,pdi,-6.9534078176135,-1.54539520835242,Entrada a [0; 1] km
0.4,-4.30708435206712,1.04974787129972,5.29141656269434e-05,192757,385,1,precio,pdi,-6.36459017981457,-2.24957852431968,Entrada a [0; 1] km
0.45,-3.79120974543959,0.886783529208482,2.58608154784295e-05,192757,385,1,precio,pdi,-5.52930546268821,-2.05311402819096,Entrada a [0; 1] km
