horizon,sentido,het,estimate,se,n,dimension,ci_low,ci_high
0,sube,mucha,0.469923740176618,0.0137575972984969,483207,competencia,0.442958849471564,0.496888630881672
1,sube,mucha,0.493176762521719,0.0138606673257909,483207,competencia,0.466009854563169,0.520343670480269
2,sube,mucha,0.532013154633745,0.0127708333670329,483207,competencia,0.506982321234361,0.55704398803313
3,sube,mucha,0.57361424935905,0.0132875185594144,483207,competencia,0.547570712982598,0.599657785735502
4,sube,mucha,0.650231479096496,0.0115395958892713,483207,competencia,0.627613871153524,0.672849087039467
5,sube,mucha,0.68540151224966,0.00957384473492999,483207,competencia,0.666636776569197,0.704166247930122
6,sube,mucha,0.690659958784562,0.00838494711966787,483207,competencia,0.674225462430013,0.707094455139111
7,sube,mucha,0.724755409219483,0.00733219774236393,483207,competencia,0.710384301644449,0.739126516794516
8,sube,mucha,0.743710946815262,0.00644869418765116,483207,competencia,0.731071506207466,0.756350387423059
9,sube,mucha,0.753967380208524,0.00572463611030083,483207,competencia,0.742747093432334,0.765187666984714
10,sube,mucha,0.766372773738494,0.00506042247806867,483207,competencia,0.756454345681479,0.776291201795509
11,sube,mucha,0.773129831898071,0.00460601319065639,483207,competencia,0.764102046044385,0.782157617751758
12,sube,mucha,0.792357977214801,0.00383975344800349,483207,competencia,0.784832060456715,0.799883893972888
0,baja,mucha,0.719870829900321,0.00727857932418861,374554,competencia,0.705604814424911,0.73413684537573
1,baja,mucha,0.779865026445015,0.00419405356274207,374554,competencia,0.771644681462041,0.78808537142799
2,baja,mucha,0.781657515580219,0.00362788294715073,374554,competencia,0.774546865003803,0.788768166156634
3,baja,mucha,0.768767413731232,0.00375664532812841,374554,competencia,0.7614043888881,0.776130438574364
4,baja,mucha,0.783788181653737,0.00340229438029629,374554,competencia,0.777119684668356,0.790456678639117
5,baja,mucha,0.788777561696518,0.00324966344422948,374554,competencia,0.782408221345828,0.795146902047207
6,baja,mucha,0.757865365603279,0.00514897772583275,374554,competencia,0.747773369260646,0.767957361945911
7,baja,mucha,0.784497130752799,0.0040367161668124,374554,competencia,0.776585167065847,0.792409094439751
8,baja,mucha,0.800183301753178,0.00336119879850301,374554,competencia,0.793595352108112,0.806771251398244
9,baja,mucha,0.758303948939349,0.00522929529006406,374554,competencia,0.748054530170824,0.768553367707875
10,baja,mucha,0.780500733076535,0.00474984294179343,374554,competencia,0.771191040910619,0.78981042524245
11,baja,mucha,0.793237144760519,0.00415829810544082,374554,competencia,0.785086880473855,0.801387409047183
12,baja,mucha,0.775592040033691,0.00483116157868483,374554,competencia,0.766122963339469,0.785061116727913
0,baja,media,0.714907408914004,0.00725184045305946,367217,competencia,0.700693801626007,0.729121016202
1,baja,media,0.770957816835116,0.0049121921841372,367217,competencia,0.761329920154207,0.780585713516025
2,baja,media,0.773470794337491,0.0039255431199742,367217,competencia,0.765776729822341,0.78116485885264
3,baja,media,0.761536512211513,0.00377760392972915,367217,competencia,0.754132408509244,0.768940615913782
4,baja,media,0.782021662228172,0.00352812518156142,367217,competencia,0.775106536872311,0.788936787584032
5,baja,media,0.788392336203341,0.00343413512999331,367217,competencia,0.781661431348554,0.795123241058128
6,baja,media,0.759085698126389,0.00485951379244696,367217,competencia,0.749561051093193,0.768610345159585
7,baja,media,0.789348471553631,0.00374899938662289,367217,competencia,0.78200043275585,0.796696510351412
8,baja,media,0.803794065259952,0.00323098430293487,367217,competencia,0.7974613360262,0.810126794493705
9,baja,media,0.75823844301416,0.00482931286180797,367217,competencia,0.748772989805016,0.767703896223304
10,baja,media,0.785178001460749,0.00427944542755264,367217,competencia,0.776790288422746,0.793565714498752
11,baja,media,0.799310159355208,0.00368719475224746,367217,competencia,0.792083257640803,0.806537061069613
12,baja,media,0.778383927445748,0.00422364050031811,367217,competencia,0.770105592065125,0.786662262826372
0,sube,media,0.514625410787005,0.0117679645876439,466938,competencia,0.491560200195223,0.537690621378787
1,sube,media,0.545175722075612,0.0119110127923593,466938,competencia,0.521830137002588,0.568521307148637
2,sube,media,0.571074400360924,0.0111921606601345,466938,competencia,0.54913776546706,0.593011035254787
3,sube,media,0.607912900771536,0.0107858678908626,466938,competencia,0.586772599705445,0.629053201837627
4,sube,media,0.685251470173784,0.00903255458337572,466938,competencia,0.667547663190367,0.7029552771572
5,sube,media,0.71427886331933,0.00738667031796701,466938,competencia,0.699800989496115,0.728756737142545
6,sube,media,0.70808516054631,0.00675145429865974,466938,competencia,0.694852310120937,0.721318010971683
7,sube,media,0.742190893387095,0.00599211252150498,466938,competencia,0.730446352844946,0.753935433929245
8,sube,media,0.75896023715258,0.0052799581086279,466938,competencia,0.748611519259669,0.769308955045491
9,sube,media,0.765649367350363,0.00469282531553447,466938,competencia,0.756451429731916,0.774847304968811
10,sube,media,0.776272464278458,0.00422253095919885,466938,competencia,0.767996303598429,0.784548624958488
11,sube,media,0.781294623052478,0.00392059393091534,466938,competencia,0.773610258947884,0.788978987157072
12,sube,media,0.799024453470498,0.00326679572315476,466938,competencia,0.792621533853115,0.805427373087881
0,baja,poca,0.740380945908166,0.00589986915799749,392886,competencia,0.728817202358491,0.751944689457841
1,baja,poca,0.776073135777109,0.00422864579205082,392886,competencia,0.76778499002469,0.784361281529529
2,baja,poca,0.771900680753075,0.00403035461714032,392886,competencia,0.76400118570348,0.77980017580267
3,baja,poca,0.763751847962522,0.00388634804220126,392886,competencia,0.756134605799808,0.771369090125237
4,baja,poca,0.77889059749344,0.00368805239321824,392886,competencia,0.771662014802732,0.786119180184147
5,baja,poca,0.784331722063017,0.00356577041064939,392886,competencia,0.777342812058144,0.79132063206789
6,baja,poca,0.773898947490394,0.00403201969915122,392886,competencia,0.765996188880058,0.78180170610073
7,baja,poca,0.794569271869543,0.00330261807527426,392886,competencia,0.788096140442006,0.801042403297081
8,baja,poca,0.802017511843113,0.00303802143985911,392886,competencia,0.796062989820989,0.807972033865237
9,baja,poca,0.776261104211369,0.0037228928155325,392886,competencia,0.768964234292925,0.783557974129813
10,baja,poca,0.798454711658235,0.00326863926509521,392886,competencia,0.792048178698649,0.804861244617822
11,baja,poca,0.80730033858864,0.00294214964112322,392886,competencia,0.801533725292038,0.813066951885241
12,baja,poca,0.792696547447064,0.00331012509180648,392886,competencia,0.786208702267123,0.799184392627005
0,sube,poca,0.607750374266901,0.0121741110585164,509365,competencia,0.583889116592209,0.631611631941593
1,sube,poca,0.648877601128216,0.0119699589933273,509365,competencia,0.625416481501295,0.672338720755137
2,sube,poca,0.667000908998634,0.0106142146142931,509365,competencia,0.64619704835462,0.687804769642649
3,sube,poca,0.690800241508563,0.00915407287694568,509365,competencia,0.672858258669749,0.708742224347376
4,sube,poca,0.747795262205688,0.00721688647225315,509365,competencia,0.733650164720072,0.761940359691304
5,sube,poca,0.762910594200679,0.00595798529533505,509365,competencia,0.751232943021823,0.774588245379536
6,sube,poca,0.754811312345902,0.00555488370798513,509365,competencia,0.743923740278252,0.765698884413553
7,sube,poca,0.780643064118326,0.00474360022905241,509365,competencia,0.771345607669383,0.789940520567268
8,sube,poca,0.790551189845865,0.00414659763460303,509365,competencia,0.782423858482043,0.798678521209687
9,sube,poca,0.792106207428244,0.00381229183564009,509365,competencia,0.78463411543039,0.799578299426099
10,sube,poca,0.797990276080141,0.00347759372629192,509365,competencia,0.791174192376609,0.804806359783673
11,sube,poca,0.799946360168671,0.00329898035970956,509365,competencia,0.793480358663641,0.806412361673702
12,sube,poca,0.807949720857461,0.00295150858491615,509365,competencia,0.802164764031025,0.813734677683897
0,sube,independiente,0.688353033659757,0.0223104896599479,180601,marca,0.644624473926259,0.732081593393255
1,sube,independiente,0.770471316797851,0.0173871225045492,180601,marca,0.736392556688934,0.804550076906767
2,sube,independiente,0.783124113156419,0.0132806370995997,180601,marca,0.757094064441204,0.809154161871635
3,sube,independiente,0.74864149548564,0.0128076328773016,180601,marca,0.723538535046129,0.773744455925151
4,sube,independiente,0.797750709079854,0.00966964458488854,180601,marca,0.778798205693473,0.816703212466236
5,sube,independiente,0.808487890891341,0.0077439987659429,180601,marca,0.793309653310093,0.823666128472589
6,sube,independiente,0.798274876045761,0.00708598159702206,180601,marca,0.784386352115598,0.812163399975924
7,sube,independiente,0.815588887322871,0.00618009408100892,180601,marca,0.803475902924094,0.827701871721649
8,sube,independiente,0.820698214000774,0.0057317618093637,180601,marca,0.809463960854421,0.831932467147126
9,sube,independiente,0.81846259487056,0.00569179506131845,180601,marca,0.807306676550375,0.829618513190744
