horizon,group,estimate,se,n,ci_low,ci_high
0,baja,0.723623160025224,0.00396252304182827,1134657,0.715856614863241,0.731389705187208
1,baja,0.775678755180286,0.00257300296791076,1134657,0.77063566936318,0.780721840997391
2,baja,0.775924868930068,0.00225367191407474,1134657,0.771507671978482,0.780342065881655
3,baja,0.765180263002114,0.00220715036971541,1134657,0.760854248277472,0.769506277726756
4,baja,0.781928538510236,0.00205820462871087,1134657,0.777894457437963,0.785962619582509
5,baja,0.787523521347926,0.001985335696321,1134657,0.783632263383137,0.791414779312715
6,baja,0.764448978651477,0.0026927401847982,1134657,0.759171207889272,0.769726749413681
7,baja,0.790041480340048,0.00213891490931242,1134657,0.785849207117795,0.7942337535623
8,baja,0.802363711717811,0.00185586576519429,1134657,0.79872621481803,0.806001208617592
9,baja,0.764968616546852,0.00266368832590349,1134657,0.759747787428081,0.770189445665623
10,baja,0.788763570279533,0.00239244933533062,1134657,0.784074369582285,0.793452770976781
11,baja,0.800534478716296,0.00209743901217642,1134657,0.796423498252431,0.804645459180162
12,baja,0.782914255315593,0.00239885922660893,1134657,0.77821249123144,0.787616019399747
0,sube,0.530742687646274,0.00754250678510693,1459510,0.515959374347464,0.545526000945083
1,sube,0.562477661025596,0.00761454249423406,1459510,0.547553157736897,0.577402164314294
2,sube,0.590104112630921,0.00695823077458056,1459510,0.576465980312743,0.603742244949099
3,sube,0.625132457966762,0.00666396155346946,1459510,0.612071093321962,0.638193822611562
4,sube,0.695404317507036,0.00559679733271396,1459510,0.684434594734916,0.706374040279155
5,sube,0.721641516461212,0.00460659477131656,1459510,0.712612590709432,0.730670442212993
6,sube,0.7185007238541,0.00412548627082822,1459510,0.710414770763277,0.726586676944924
7,sube,0.749827673025234,0.00360623929135344,1459510,0.742759444014181,0.756895902036287
8,sube,0.764968989651396,0.00315869402141792,1459510,0.758777949369417,0.771160029933375
9,sube,0.771211100978748,0.00281674297742221,1459510,0.765690284743001,0.776731917214496
10,sube,0.7807296393746,0.00251855140333998,1459510,0.775793278624054,0.785666000125146
11,sube,0.785266103609662,0.00232777332139792,1459510,0.780703667899722,0.789828539319602
12,sube,0.800062153374076,0.0019657859958416,1459510,0.796209212822227,0.803915093925926
