horizon,group,beta_up,se_up,beta_down,se_down,asym,se_asym,t_asym,n,dimension,asym_low,asym_high
0,pooled,0.542098184562025,0.00728415046462463,0.779147406511049,0.00299909678403647,-0.237049221949023,0.00786352267979532,-30.1454235718175,3238217,pooled,-0.252461726401422,-0.221636717496624
1,pooled,0.664496014816709,0.00593703063598484,0.822883513153199,0.00270906731512435,-0.15838749833649,0.00741444382624076,-21.3620201391148,3238217,pooled,-0.172919808235922,-0.143855188437058
2,pooled,0.717193114715258,0.00531198968686758,0.832174290481053,0.00280270029477588,-0.114981175765795,0.00709424348056836,-16.2076726124128,3238217,pooled,-0.128885892987709,-0.101076458543882
3,pooled,0.715013106283875,0.00554651822552088,0.832400929990413,0.00270969361748291,-0.117387823706538,0.00723371924103264,-16.2278656103579,3238217,pooled,-0.131565913418962,-0.103209733994114
4,pooled,0.742835004881838,0.00498090613384322,0.829300890641018,0.00262570548442319,-0.0864658857591792,0.00659111992750607,-13.1185423281922,3238217,pooled,-0.0993844808170911,-0.0735472907012673
5,pooled,0.761389162225485,0.00455548844961636,0.827287621039423,0.00256361799818361,-0.0658984588139383,0.00611234837618621,-10.7812013907256,3238217,pooled,-0.0778786616312633,-0.0539182559966133
6,pooled,0.768130568205342,0.00444223489843055,0.826817157854153,0.00249352038027534,-0.0586865896488115,0.0059277798627877,-9.90026468715936,3238217,pooled,-0.0703050381798754,-0.0470681411177476
7,pooled,0.779306135020302,0.00413210092361255,0.824611699194029,0.00241352911397909,-0.0453055641737272,0.00550625607639366,-8.22801619560713,3238217,pooled,-0.0560978260834588,-0.0345133022639957
8,pooled,0.786262507725771,0.00389482038161764,0.824555039469806,0.00235818987562227,-0.0382925317440349,0.0052121105187294,-7.34683802395077,3238217,pooled,-0.0485082683607445,-0.0280767951273253
9,pooled,0.785938031735297,0.00396955919348458,0.829762796335575,0.00232847047498442,-0.0438247646002778,0.00529054054602797,-8.28360811508771,3238217,pooled,-0.0541942240704927,-0.033455305130063
10,pooled,0.789814246083686,0.0038279580029939,0.829593405297271,0.00227048873274092,-0.0397791592135849,0.00505861846146396,-7.86364093608135,3238217,pooled,-0.0496940513980542,-0.0298642670291155
11,pooled,0.794109701967651,0.00357798511053154,0.828284387303008,0.0022231067946413,-0.0341746853353568,0.00472749848297516,-7.22891513523018,3238217,pooled,-0.0434405823619881,-0.0249087883087255
12,pooled,0.801612120429142,0.00342344056441432,0.832993542963329,0.00220446739288486,-0.0313814225341877,0.00458833750016546,-6.83938845672449,3238217,pooled,-0.040374564034512,-0.0223882810338634
0,poca,0.614843309994386,0.0117043238716096,0.767375125501623,0.00543383843304871,-0.152531815507237,0.0135989344167794,-11.2164534979322,1139927,competencia,-0.179185726964125,-0.125877904050349
1,poca,0.716471803456617,0.00882335321073122,0.802706625912725,0.0050096480714197,-0.0862348224561088,0.0117289011770431,-7.35233600781764,1139927,competencia,-0.109223468763113,-0.0632461761491043
2,poca,0.759650936605279,0.00761244332099476,0.812085917970955,0.00505274237064547,-0.0524349813656756,0.0108950082079246,-4.81275280981768,1139927,competencia,-0.0737891974532077,-0.0310807652781435
3,poca,0.761557977693754,0.00762164259675115,0.812720157640238,0.00483654160468583,-0.0511621799464835,0.0106197175900249,-4.81765918093154,1139927,competencia,-0.0719768264229323,-0.0303475334700348
4,poca,0.781525252641692,0.00678276206140591,0.811953103551927,0.00463475738148127,-0.0304278509102348,0.00957012439620357,-3.17946242394774,1139927,competencia,-0.0491852947267938,-0.0116704070936758
5,poca,0.794461382995814,0.00622364962255474,0.811583196293296,0.00452351846179915,-0.0171218132974822,0.00892674637584223,-1.91803514702934,1139927,competencia,-0.034618236194133,0.000374609599168574
6,poca,0.800903297407005,0.00595341727179752,0.81155473014183,0.0043684758475818,-0.0106514327348247,0.00851590615163924,-1.25076915423433,1139927,competencia,-0.0273426087920376,0.00603974332238819
7,poca,0.808049143005113,0.00552666089106154,0.81140544034502,0.00424376025083322,-0.00335629733990694,0.00794331904138507,-0.422530849185394,1139927,competencia,-0.0189252026610217,0.0122126079812078
8,poca,0.812160781722897,0.00525897567304797,0.811981605294756,0.00418175485891654,0.00017917642814147,0.00763048314745439,0.0234816622589941,1139927,competencia,-0.0147765705408691,0.0151349233971521
9,poca,0.813079615129549,0.00514019645041499,0.81614707123455,0.00408793711415885,-0.00306745610500092,0.0074232878471547,-0.413220687134833,1139927,competencia,-0.0176171002854241,0.0114821880754223
10,poca,0.814794286165522,0.00494760334097411,0.817223619831659,0.00401459129935872,-0.00242933366613729,0.00713390435644974,-0.340533534619221,1139927,competencia,-0.0164117862047788,0.0115531188725042
11,poca,0.816637629899632,0.00468861594517775,0.816842970890905,0.00398357832772659,-0.000205340991272784,0.00682144268220888,-0.0301022820008937,1139927,competencia,-0.0135753686484022,0.0131646866658566
12,poca,0.821894595548969,0.00450907978470907,0.820995771188817,0.00394781624762071,0.00089882436015265,0.00665990749635318,0.134960487160644,1139927,competencia,-0.0121545943326996,0.0139522430530049
0,media,0.525725786913894,0.011335921390393,0.773603745484637,0.00517804875158606,-0.247877958570743,0.0121325826100453,-20.4307661886851,1060154,competencia,-0.271657820486432,-0.224098096655054
1,media,0.654519524516903,0.00938662221028425,0.823887266486061,0.00440252208795953,-0.169367741969158,0.0116012571329538,-14.599085256723,1060154,competencia,-0.192106205949747,-0.146629277988569
2,media,0.710486731334561,0.00852240471712207,0.834941200752367,0.00459306261775273,-0.124454469417806,0.0113207274743253,-10.993504587056,1060154,competencia,-0.146643095267483,-0.102265843568128
3,media,0.705850303967611,0.00873335476691485,0.834731382481075,0.00436147689365483,-0.128881078513464,0.0112885721774926,-11.4169512748858,1060154,competencia,-0.15100667998135,-0.106755477045579
4,media,0.735317462221871,0.00794157612605532,0.831948284820097,0.00430796938951955,-0.0966308225982261,0.0104642523798175,-9.23437423820154,1060154,competencia,-0.117140757262668,-0.0761208879337838
5,media,0.755450120793011,0.00720057429336044,0.829959625707886,0.00422239163755694,-0.0745095049148752,0.00964131814654026,-7.72814502979684,1060154,competencia,-0.0934064884820941,-0.0556125213476563
6,media,0.762526443184259,0.0071385009645593,0.82884317079017,0.00413384560051831,-0.0663167276059109,0.00949642031478028,-6.98333955403124,1060154,competencia,-0.0849297114228803,-0.0477037437889416
7,media,0.774464971617198,0.00673873849236528,0.826033852061101,0.0040385351380189,-0.0515688804439031,0.00895835255267676,-5.75651383897526,1060154,competencia,-0.0691272514471495,-0.0340105094406566
8,media,0.782424786632341,0.0063349998460007,0.825329115965551,0.0039447591709497,-0.04290432933321,0.00845295546843717,-5.07566016328989,1060154,competencia,-0.0594721220513468,-0.0263365366150731
9,media,0.782092272402915,0.00653584076368633,0.83093474063884,0.00388722551970228,-0.0488424682359251,0.00867065696034931,-5.63307583949871,1060154,competencia,-0.0658369558782098,-0.0318479805936404
10,media,0.785838423686075,0.00634904820058969,0.830595736606289,0.00379463643543615,-0.044757312920214,0.00831264229126103,-5.38424623025903,1060154,competencia,-0.0610500918110856,-0.0284645340293424
11,media,0.790664822673705,0.00593645069466643,0.828796243440804,0.00370736875281263,-0.0381314207670985,0.00775755367160919,-4.91539245247513,1060154,competencia,-0.0533362259634525,-0.0229266155707445
