outcome,banda,est,se,p,n
p93,$<$1 km,-0.808471378066214,0.2498255987455,0.00135495841179702,1374
p93,1--2 km,-1.21465374238152,0.286810396051496,3.09013351173928e-05,1374
p93,2--3 km,-1.50202335637602,0.294301208161792,6.10747302650988e-07,1374
p93,3--5 km,-0.919860758720233,0.321174784050723,0.00449453928671662,1374
p93,5--10 km,-0.731508771164618,0.257360073126816,0.00480282735379358,1374
pdi,$<$1 km,-0.395583464169117,0.323893924276903,0.222957488107835,1391
pdi,1--2 km,-1.16127447413548,0.39376433798424,0.00344767986998573,1391
pdi,2--3 km,-1.35745750387376,0.362439484516441,0.00021756475728011,1391
pdi,3--5 km,-0.895127122346584,0.390910321187949,0.022752982864104,1391
pdi,5--10 km,-1.04263035492719,0.371253963047545,0.0053191991117878,1391
