rel,estimate,se,estimador,outcome,ci_low,ci_high
-4,-0.0183455505268662,0.0740324386035034,Sun-Abraham (IW),p93,-0.163449130189733,0.126758029136
-3,-0.102267065494161,0.0706173959044419,Sun-Abraham (IW),p93,-0.240677161466868,0.0361430304785445
-2,0.0359392866008918,0.0695015659407299,Sun-Abraham (IW),p93,-0.100283782642939,0.172162355844722
-1,0,0,Sun-Abraham (IW),p93,0,0
0,-0.183313212191707,0.0743433258285054,Sun-Abraham (IW),p93,-0.329026130815578,-0.0376002935678364
1,-0.3726017188892,0.100082651218503,Sun-Abraham (IW),p93,-0.568763715277467,-0.176439722500934
2,-0.264001522626299,0.0941722374136887,Sun-Abraham (IW),p93,-0.448579107957129,-0.0794239372954693
3,-0.364193221923653,0.0945092613088884,Sun-Abraham (IW),p93,-0.549431374089074,-0.178955069758232
4,-0.374896395580887,0.106905806791743,Sun-Abraham (IW),p93,-0.584431776892703,-0.165361014269071
-4,0.0409395403678989,0.0897941266708859,TWFE,p93,-0.135056947907038,0.216936028642835
-3,-0.0825305465949261,0.076959729091581,TWFE,p93,-0.233371615614425,0.0683105224245727
-2,0.0413925230297174,0.074307105436169,TWFE,p93,-0.104249403625174,0.187034449684609
-1,0,0,TWFE,p93,0,0
0,-0.156896648327518,0.0790396173094413,TWFE,p93,-0.311814298254023,-0.00197899840101318
1,-0.348789778538458,0.116885186899414,TWFE,p93,-0.57788474486131,-0.119694812215607
2,-0.238474233654913,0.103211242754864,TWFE,p93,-0.440768269454446,-0.0361801978553797
3,-0.327544988180758,0.10204917285095,TWFE,p93,-0.527561366968619,-0.127528609392896
4,-0.436548815260402,0.127979098599879,TWFE,p93,-0.687387848516165,-0.185709782004638
-4,-0.0600507169900495,0.0805129989858314,Sun-Abraham (IW),p95,-0.217856195002279,0.09775476102218
-3,-0.0974050703540335,0.069343890973355,Sun-Abraham (IW),p95,-0.233319096661809,0.0385089559537423
-2,0.0403007430542287,0.0730998127964324,Sun-Abraham (IW),p95,-0.102974890026779,0.183576376135236
-1,0,0,Sun-Abraham (IW),p95,0,0
0,-0.263939893947715,0.0816500072064708,Sun-Abraham (IW),p95,-0.423973908072398,-0.103905879823032
1,-0.444097718077172,0.102625066195428,Sun-Abraham (IW),p95,-0.64524284782021,-0.242952588334134
2,-0.272634706779379,0.0872238769322591,Sun-Abraham (IW),p95,-0.443593505566606,-0.101675907992151
3,-0.307759191399228,0.0889563091058321,Sun-Abraham (IW),p95,-0.482113557246659,-0.133404825551797
4,-0.343861850708602,0.11052396567954,Sun-Abraham (IW),p95,-0.560488823440501,-0.127234877976703
-4,-0.0163948244464528,0.101160391450722,TWFE,p95,-0.214669191689868,0.181879542796962
-3,-0.0779272340697713,0.0802145953091471,TWFE,p95,-0.2351478408757,0.0792933727361569
-2,0.0471380935992343,0.0805698314906194,TWFE,p95,-0.11077877612238,0.205054963320848
-1,0,0,TWFE,p95,0,0
0,-0.240448456440083,0.0833220342497662,TWFE,p95,-0.403759643569625,-0.0771372693105412
1,-0.431700703622681,0.117812794327498,TWFE,p95,-0.662613780504579,-0.200787626740784
2,-0.264349979693202,0.100952621225276,TWFE,p95,-0.462217117294743,-0.0664828420916597
3,-0.28051992944395,0.101722369206827,TWFE,p95,-0.479895773089331,-0.081144085798569
4,-0.404285368630022,0.140847644763432,TWFE,p95,-0.680346752366348,-0.128223984893696
-4,-0.0936756712894294,0.0940549730846073,Sun-Abraham (IW),p97,-0.27802341853526,0.090672075956401
-3,-0.114909995754587,0.0803779037378369,Sun-Abraham (IW),p97,-0.272450687080747,0.0426306955715734
-2,-0.0214277478242354,0.0854794359147486,Sun-Abraham (IW),p97,-0.188967442217143,0.146111946568672
-1,0,0,Sun-Abraham (IW),p97,0,0
0,-0.159510486443865,0.0851437834694649,Sun-Abraham (IW),p97,-0.326392302044016,0.00737132915628608
1,-0.343301410738552,0.113745822078452,Sun-Abraham (IW),p97,-0.566243222012318,-0.120359599464786
2,-0.225248744465112,0.104995985085291,Sun-Abraham (IW),p97,-0.431040875232282,-0.0194566136979425
3,-0.189626682303855,0.11382957636285,Sun-Abraham (IW),p97,-0.412732651975041,0.0334792873673309
4,-0.207222889863069,0.13531391384999,Sun-Abraham (IW),p97,-0.47243816100905,0.0579923812829107
-4,0.0205864856722689,0.133301020735404,TWFE,p97,-0.240683514969122,0.28185648631366
